INT	STRING	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT
1301	道法自然	t_achievement_name_1301	一局对战中只使用技能击败敌人	t_achievement_desc_1301	2		1	13					10	1	1	hz_icon1	
1401	攻防一体	t_achievement_name_1401	使用滚雪球抵挡敌人雪球100次	t_achievement_desc_1401	2		100	14	200401	2	100101		10	1	1	hz_icon1	
1601	雪人必须死	t_achievement_name_1601	普通雪球命中雪人500次	t_achievement_desc_1601	2		500	16					10	1	1	hz_icon1	
1701	男性公敌	t_achievement_name_1701	一局对战中击败男性角色8次	t_achievement_desc_1701	2		1	17	0	8			10	1	1	hz_icon1	
1702	女性公敌	t_achievement_name_1702	一局对战中击败女性角色8次	t_achievement_desc_1702	2		1	17	1	8			10	1	1	hz_icon1	
1801	兄弟走好	t_achievement_name_1801	一局对战中只击败男性角色，且不低于5次	t_achievement_desc_1801	2		1	18	0	5			10	1	1	hz_icon1	
1802	辣手摧花	t_achievement_name_1802	一局对战中只击败女性角色，且不低于5次	t_achievement_desc_1802	2		1	18	1	5			10	1	1	hz_icon1	
1901	三国眷侣之貂蝉	t_achievement_name_1901	使用貂蝉击败吕布50次	t_achievement_desc_1901	2		50	19	3002	3001			10	1	1	hz_icon1	1
1902	三国眷侣之吕布	t_achievement_name_1902	使用吕布击败貂蝉50次	t_achievement_desc_1902	2		50	19	3001	3002			10	1	1	hz_icon1	1
1903	西游眷侣之紫霞	t_achievement_name_1903	使用紫霞击败孙悟空50次	t_achievement_desc_1903	2		50	19	3004	3003			10	1	1	hz_icon1	1
1904	西游眷侣之悟空	t_achievement_name_1904	使用孙悟空击败紫霞50次	t_achievement_desc_1904	2		50	19	3003	3004			10	1	1	hz_icon1	1
1905	美人之争之甄姬	t_achievement_name_1905	使用甄姬击败貂蝉50次	t_achievement_desc_1905	2		50	19	2001	3002			10	1	1	hz_icon1	1
1906	美人之争之貂蝉	t_achievement_name_1906	使用貂蝉击败甄姬50次	t_achievement_desc_1906	2		50	19	3002	2001			10	1	1	hz_icon1	1
1907	暴走仙女之嫦娥	t_achievement_name_1907	使用嫦娥击败紫霞50次	t_achievement_desc_1907	2		50	19	2003	3004			10	1	1	hz_icon1	1
1908	暴走仙女之紫霞	t_achievement_name_1908	使用紫霞击败嫦娥50次	t_achievement_desc_1908	2		50	19	3004	2003			10	1	1	hz_icon1	1
1909	真假猴王	t_achievement_name_1909	使用孙悟空击败孙悟空50次	t_achievement_desc_1909	2		50	19	3003	3003			10	1	1	hz_icon1	1
1910	苦肉计	t_achievement_name_1910	使用周瑜击败黄盖50次	t_achievement_desc_1910	2		50	19	2004	2002			10	1	1	hz_icon1	1
1911	都督轻点	t_achievement_name_1911	使用黄盖击败周瑜50次	t_achievement_desc_1911	2		50	19	2002	2004			10	1	1	hz_icon1	1
2001	女王驾到	t_achievement_name_2001	使用武则天击败男性角色50次	t_achievement_desc_2001	2		50	20	2005	0			10	1	1	hz_icon1	1
2101	你死我活	t_achievement_name_2101	一局对战中击败同一名玩家5次	t_achievement_desc_2101	2		1	21	5				10	3	1	hz_icon1	
2102	你死我活	t_achievement_name_2102	一局对战中击败同一名玩家7次	t_achievement_desc_2102	2	2101	1	21	7				20	3	2	hz_icon2	
2103	你死我活	t_achievement_name_2103	一局对战中击败同一名玩家10次	t_achievement_desc_2103	2	2102	1	21	10				30	3	3	hz_icon3	
2201	空中拦截	t_achievement_name_2201	击败5次空中的敌人	t_achievement_desc_2201	2		5	22					10	2	1	hz_icon1	
2202	空中拦截	t_achievement_name_2202	击败10次空中的敌人	t_achievement_desc_2202	2	2201	10	22					20	2	2	hz_icon2	
2301	料事如神	t_achievement_name_2301	单次致盲状态下击败1名敌人	t_achievement_desc_2301	2		1	23	101	1			10	1	1	hz_icon1	
2302	走位犀利	t_achievement_name_2302	单次混乱状态下击败1名敌人	t_achievement_desc_2302	2		1	23	103	1			10	1	1	hz_icon1	
2501	秀翻全场	t_achievement_name_2501	一局对战中自己生命值低于10%状态下击败2名敌人	t_achievement_desc_2501	2		1	25	10	2			10	2	1	hz_icon1	
2502	秀翻全场	t_achievement_name_2502	一局对战中自己生命值低于10%状态下击败3名敌人	t_achievement_desc_2502	2	2501	1	25	10	3			20	2	2	hz_icon2	
2601	捡漏王	t_achievement_name_2601	一局对战中补刀3名生命值低于20%敌人	t_achievement_desc_2601	2		1	26	20	3			10	1	1	hz_icon1	
2701	全民公敌	t_achievement_name_2701	一局对战中击败过4名不同敌人	t_achievement_desc_2701	2		1	27	4				10	2	1	hz_icon1	
2702	全民公敌	t_achievement_name_2702	一局对战中击败过5名不同敌人	t_achievement_desc_2702	2	2701	1	27	5				20	2	2	hz_icon2	
2801	巨人克星	t_achievement_name_2801	一局大乱斗中击败排行第一名的敌人3次	t_achievement_desc_2801	2		1	28	1	3			10	3	1	hz_icon1	
2802	巨人克星	t_achievement_name_2802	一局大乱斗中击败排行第一名的敌人4次	t_achievement_desc_2802	2	2801	1	28	1	4			20	3	2	hz_icon2	
2803	巨人克星	t_achievement_name_2803	一局大乱斗中击败排行第一名的敌人5次	t_achievement_desc_2803	2	2802	1	28	1	5			30	3	3	hz_icon3	
2901	以德服人	t_achievement_name_2901	一局大乱斗中不击败任何人获得第一名	t_achievement_desc_2901	2		1	29					10	1	1	hz_icon1	
3001	孤胆英雄	t_achievement_name_3001	累计参加50局大乱斗	t_achievement_desc_3001	3		50	30					10	5	1	hz_icon1	
3002	孤胆英雄	t_achievement_name_3002	累计参加100局大乱斗	t_achievement_desc_3002	3	3001	100	30					20	5	2	hz_icon2	
3003	孤胆英雄	t_achievement_name_3003	累计参加300局大乱斗	t_achievement_desc_3003	3	3002	300	30					30	5	3	hz_icon3	
3004	孤胆英雄	t_achievement_name_3004	累计参加500局大乱斗	t_achievement_desc_3004	3	3003	500	30					40	5	4	hz_icon4	
3005	孤胆英雄	t_achievement_name_3005	累计参加1000局大乱斗	t_achievement_desc_3005	3	3004	1000	30					50	5	5	hz_icon5	
3201	以牙还牙	t_achievement_name_3201	死亡状态下击败1名敌人	t_achievement_desc_3201	2		1	32	1				10	2	1	hz_icon1	
3202	以牙还牙	t_achievement_name_3202	死亡状态下击败2名敌人	t_achievement_desc_3202	2	3201	1	32	2				20	2	2	hz_icon2	
3301	破釜沉舟	t_achievement_name_3301	一局大乱斗中不使用变雪人获得第一名	t_achievement_desc_3301	2		1	33					10	1	1	hz_icon1	
3401	无处可藏	t_achievement_name_3401	一局对战中于草丛外击败藏身草丛中的2名敌人	t_achievement_desc_3401	2		1	34	2				10	2	1	hz_icon1	
3402	无处可藏	t_achievement_name_3402	一局对战中于草丛外击败藏身草丛中的3名敌人	t_achievement_desc_3402	2	3401	1	34	3				20	2	2	hz_icon2	
3501	奖杯达人	t_achievement_name_3501	达到白金奖杯	t_achievement_desc_3501	1		1	35	15				10	5	1	hz_icon1	
3502	奖杯达人	t_achievement_name_3502	达到钻石奖杯	t_achievement_desc_3502	1	3501	1	35	25				20	5	2	hz_icon2	
3503	奖杯达人	t_achievement_name_3503	达到大师奖杯	t_achievement_desc_3503	1	3502	1	35	40				30	5	3	hz_icon3	
3504	奖杯达人	t_achievement_name_3504	达到冰魂奖杯	t_achievement_desc_3504	1	3503	1	35	55				40	5	4	hz_icon4	
3505	奖杯达人	t_achievement_name_3505	达到至尊奖杯	t_achievement_desc_3505	1	3504	1	35	85				50	5	5	hz_icon5	
13011	团队精英	t_achievement_name_13011	累计参加50局雪地会战	t_achievement_desc_13011	3		50	130					10	5	1	hz_icon1	
13012	团队精英	t_achievement_name_13012	累计参加100局雪地会战	t_achievement_desc_13012	3	13011	100	130					20	5	2	hz_icon2	
13013	团队精英	t_achievement_name_13013	累计参加300局雪地会战	t_achievement_desc_13013	3	13012	300	130					30	5	3	hz_icon3	
13014	团队精英	t_achievement_name_13014	累计参加500局雪地会战	t_achievement_desc_13014	3	13013	500	130					40	5	4	hz_icon4	
13015	团队精英	t_achievement_name_13015	累计参加1000局雪地会战	t_achievement_desc_13015	3	13014	1000	130					50	5	5	hz_icon5	
