INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
3802	一局对战中击败其他玩家10次	t_task_desc_3802	38	2	1	6	10				1	1	400		1	4	5	
3901	完成1次奖杯升星	t_task_desc_3901	39	3	1	37					1	1	400		1	4	5	
4001	累计击败100次男性角色	t_task_desc_4001	40	2	100	39	0				1	1	500		1	4	5	
4002	累计击败100次女性角色	t_task_desc_4002	40	2	100	39	1				1	1	500		1	4	5	
4101	一局对战中击败其他玩家10次	t_task_desc_4101	41	2	1	6	10				1	1	500		1	4	5	
4201	完成20局大乱斗	t_task_desc_4201	42	3	20	30					1	1	500		1	4	5	
4202	完成20局雪地会战	t_task_desc_4202	42	3	20	130					1	1	500		1	4	5	
4301	连续击败8名其他玩家	t_task_desc_4301	43	2	1	7	8				1	1	500		1	4	5	
4401	大乱斗，取得5次前1名	t_task_desc_4401	44	2	5	9	1				1	1	500		1	4	5	
4402	一局对战中击败其他玩家10次	t_task_desc_4402	44	2	1	6	10				1	1	500		1	4	5	
4501	完成1次奖杯升星	t_task_desc_4501	45	3	1	37					1	1	500		1	4	5	
4601	累计击败100次男性角色	t_task_desc_4601	46	2	100	39	0				1	1	500		1	4	5	
4602	累计击败100次女性角色	t_task_desc_4602	46	2	100	39	1				1	1	500		1	4	5	
4701	给任意角色升星1次	t_task_desc_4701	47	3	1	36					1	1	500		1	4	5	
4801	完成20局大乱斗	t_task_desc_4801	48	3	20	30					1	1	500		1	4	5	
4802	完成20局雪地会战	t_task_desc_4802	48	3	20	130					1	1	500		1	4	5	
4901	连续击败8名其他玩家	t_task_desc_4901	49	2	1	7	8				1	1	500		1	4	5	
5001	大乱斗，取得10次前1名	t_task_desc_5001	50	2	10	9	1				1	1	600		1	4	5	
5002	一局对战中击败其他玩家10次	t_task_desc_5002	50	2	1	6	10				1	1	600		1	4	5	
5101	完成1次奖杯升星	t_task_desc_5101	51	3	1	37					1	1	600		1	4	5	
5201	累计击败100次男性角色	t_task_desc_5201	52	2	100	39	0				1	1	600		1	4	5	
5202	累计击败100次女性角色	t_task_desc_5202	52	2	100	39	1				1	1	600		1	4	5	
5301	一局对战中击败其他玩家10次	t_task_desc_5301	53	2	1	6	10				1	1	600		1	4	5	
5401	完成20局大乱斗	t_task_desc_5401	54	3	20	30					1	1	600		1	4	5	
5402	完成20局雪地会战	t_task_desc_5402	54	3	20	130					1	1	600		1	4	5	
5501	连续击败8名其他玩家	t_task_desc_5501	55	2	2	7	8				1	1	600		1	4	5	
5601	大乱斗，取得5次前1名	t_task_desc_5601	56	2	5	9	1				1	1	600		1	4	5	
5602	一局对战中击败其他玩家10次	t_task_desc_5602	56	2	1	6	10				1	1	600		1	4	5	
5701	完成1次奖杯升星	t_task_desc_5701	57	3	1	37					1	1	600		1	4	5	
5801	累计击败100次男性角色	t_task_desc_5801	58	2	100	39	0				1	1	600		1	4	5	
5802	累计击败100次女性角色	t_task_desc_5802	58	2	100	39	1				1	1	600		1	4	5	
5901	给任意角色升星1次	t_task_desc_5901	59	3	1	36					1	1	600		1	4	5	
6001	完成20局大乱斗	t_task_desc_6001	60	3	20	30					1	1	700		1	4	5	
6002	完成20局雪地会战	t_task_desc_6002	60	3	20	130					1	1	700		1	4	5	
6101	连续击败8名其他玩家	t_task_desc_6101	61	2	3	7	8				1	1	700		1	4	5	
6201	大乱斗，取得10次前1名	t_task_desc_6201	62	2	10	9	1				1	1	700		1	4	5	
6202	一局对战中击败其他玩家10次	t_task_desc_6202	62	2	1	6	10				1	1	700		1	4	5	
6301	完成1次奖杯升星	t_task_desc_6301	63	3	1	37					1	1	700		1	4	5	
6401	累计击败100次男性角色	t_task_desc_6401	64	2	100	39	0				1	1	700		1	4	5	
6402	累计击败100次女性角色	t_task_desc_6402	64	2	100	39	1				1	1	700		1	4	5	
6501	一局对战中击败其他玩家10次	t_task_desc_6501	65	2	1	6	10				1	1	700		1	4	5	
6601	完成20局大乱斗	t_task_desc_6601	66	3	20	30					1	1	700		1	4	5	
6602	完成20局雪地会战	t_task_desc_6602	66	3	20	130					1	1	700		1	4	5	
6701	连续击败8名其他玩家	t_task_desc_6701	67	2	1	7	8				1	1	700		1	4	5	
6801	大乱斗，取得5次前1名	t_task_desc_6801	68	2	5	9	1				1	1	700		1	4	5	
6802	一局对战中击败其他玩家10次	t_task_desc_6802	68	2	1	6	10				1	1	700		1	4	5	
6901	完成1次奖杯升星	t_task_desc_6901	69	3	1	37					1	1	700		1	4	5	
7001	累计击败100次男性角色	t_task_desc_7001	70	2	100	39	0				1	1	800		1	4	5	
7002	累计击败100次女性角色	t_task_desc_7002	70	2	100	39	1				1	1	800		1	4	5	
7101	给任意角色升星1次	t_task_desc_7101	71	3	1	36					1	1	800		1	4	5	
7201	完成20局大乱斗	t_task_desc_7201	72	3	20	30					1	1	800		1	4	5	
7202	完成20局雪地会战	t_task_desc_7202	72	3	20	130					1	1	800		1	4	5	
7301	连续击败8名其他玩家	t_task_desc_7301	73	2	2	7	8				1	1	800		1	4	5	
7401	大乱斗，取得10次前1名	t_task_desc_7401	74	2	10	9	1				1	1	800		1	4	5	
7402	一局对战中击败其他玩家10次	t_task_desc_7402	74	2	1	6	10				1	1	800		1	4	5	
7501	完成1次奖杯升星	t_task_desc_7501	75	3	1	37					1	1	800		1	4	5	
7601	累计击败100次男性角色	t_task_desc_7601	76	2	100	39	0				1	1	800		1	4	5	
7602	累计击败100次女性角色	t_task_desc_7602	76	2	100	39	1				1	1	800		1	4	5	
7701	一局对战中击败其他玩家10次	t_task_desc_7701	77	2	1	6	10				1	1	800		1	4	5	
7801	完成20局大乱斗	t_task_desc_7801	78	3	20	30					1	1	800		1	4	5	
7802	完成20局雪地会战	t_task_desc_7802	78	3	20	130					1	1	800		1	4	5	
7901	连续击败8名其他玩家	t_task_desc_7901	79	2	3	7	8				1	1	800		1	4	5	
8001	大乱斗，取得5次前1名	t_task_desc_8001	80	2	5	9	1				1	1	900		1	4	5	
8002	一局对战中击败其他玩家10次	t_task_desc_8002	80	2	1	6	10				1	1	900		1	4	5	
8101	完成1次奖杯升星	t_task_desc_8101	81	3	1	37					1	1	900		1	4	5	
8201	累计击败100次男性角色	t_task_desc_8201	82	2	100	39	0				1	1	900		1	4	5	
8202	累计击败100次女性角色	t_task_desc_8202	82	2	100	39	1				1	1	900		1	4	5	
8301	给任意角色升星1次	t_task_desc_8301	83	3	1	36					1	1	900		1	4	5	
8401	完成20局大乱斗	t_task_desc_8401	84	3	20	30					1	1	900		1	4	5	
8402	完成20局雪地会战	t_task_desc_8402	84	3	20	130					1	1	900		1	4	5	
8501	连续击败8名其他玩家	t_task_desc_8501	85	2	1	7	8				1	1	900		1	4	5	
8601	大乱斗，取得10次前1名	t_task_desc_8601	86	2	10	9	1				1	1	900		1	4	5	
8602	一局对战中击败其他玩家10次	t_task_desc_8602	86	2	1	6	10				1	1	900		1	4	5	
8701	完成1次奖杯升星	t_task_desc_8701	87	3	1	37					1	1	900		1	4	5	
8801	累计击败100次男性角色	t_task_desc_8801	88	2	100	39	0				1	1	900		1	4	5	
8802	累计击败100次女性角色	t_task_desc_8802	88	2	100	39	1				1	1	900		1	4	5	
8901	一局对战中击败其他玩家10次	t_task_desc_8901	89	2	1	6	10				1	1	900		1	4	5	
9001	完成20局大乱斗	t_task_desc_9001	90	3	20	30					1	1	1000		1	4	5	
9002	完成20局雪地会战	t_task_desc_9002	90	3	20	130					1	1	1000		1	4	5	
9101	连续击败8名其他玩家	t_task_desc_9101	91	2	2	7	8				1	1	1000		1	4	5	
9201	大乱斗，取得5次前1名	t_task_desc_9201	92	2	5	9	1				1	1	1000		1	4	5	
9202	一局对战中击败其他玩家10次	t_task_desc_9202	92	2	1	6	10				1	1	1000		1	4	5	
9301	完成1次奖杯升星	t_task_desc_9301	93	3	1	37					1	1	1000		1	4	5	
9401	累计击败100次男性角色	t_task_desc_9401	94	2	100	39	0				1	1	1000		1	4	5	
9402	累计击败100次女性角色	t_task_desc_9402	94	2	100	39	1				1	1	1000		1	4	5	
9501	给任意角色升星1次	t_task_desc_9501	95	3	1	36					1	1	1000		1	4	5	
9601	完成20局大乱斗	t_task_desc_9601	96	3	20	30					1	1	1000		1	4	5	
9602	完成20局雪地会战	t_task_desc_9602	96	3	20	130					1	1	1000		1	4	5	
9701	连续击败8名其他玩家	t_task_desc_9701	97	2	3	7	8				1	1	1000		1	4	5	
9801	大乱斗，取得10次前1名	t_task_desc_9801	98	2	10	9	1				1	1	1000		1	4	5	
9802	一局对战中击败其他玩家10次	t_task_desc_9802	98	2	1	6	10				1	1	1000		1	4	5	
9901	完成1次奖杯升星	t_task_desc_9901	99	3	1	37					1	1	1000		1	4	5	
10001	累计击败100次男性角色	t_task_desc_10001	100	2	100	39	0				1	1	1000		1	4	5	
10002	累计击败100次女性角色	t_task_desc_10002	100	2	100	39	1				1	1	1000		1	4	5	
