INT	INT	STRING	INT	STRING	INT	STRING	INT
42	1	攻击	200601	恶魔球	200801	龙卷风	10
43	1	攻击	200601	恶魔球	200901	陨石球	10
44	1	攻击	200601	恶魔球	201001	烈性炸药	10
45	1	攻击	200601	恶魔球	201101	隐身斗篷	10
46	1	攻击	200701	暴风雪	200201	冰霜球	10
47	1	攻击	200701	暴风雪	200301	雷电球	10
48	1	攻击	200701	暴风雪	200401	大雪球	10
49	1	攻击	200701	暴风雪	200501	墨水球	10
50	1	攻击	200701	暴风雪	200601	恶魔球	10
51	1	攻击	200701	暴风雪	200801	龙卷风	10
52	1	攻击	200701	暴风雪	200901	陨石球	10
53	1	攻击	200701	暴风雪	201001	烈性炸药	10
54	1	攻击	200701	暴风雪	201101	隐身斗篷	10
55	1	攻击	200801	龙卷风	200201	冰霜球	10
56	1	攻击	200801	龙卷风	200301	雷电球	10
57	1	攻击	200801	龙卷风	200401	大雪球	10
58	1	攻击	200801	龙卷风	200501	墨水球	10
59	1	攻击	200801	龙卷风	200601	恶魔球	10
60	1	攻击	200801	龙卷风	200701	暴风雪	10
61	1	攻击	200801	龙卷风	200901	陨石球	10
62	1	攻击	200801	龙卷风	201001	烈性炸药	10
63	1	攻击	200801	龙卷风	201101	隐身斗篷	10
64	1	攻击	200901	陨石球	200201	冰霜球	2
65	1	攻击	200901	陨石球	200301	雷电球	1
66	1	攻击	200901	陨石球	200401	大雪球	10
67	1	攻击	200901	陨石球	200501	墨水球	10
68	1	攻击	200901	陨石球	200601	恶魔球	10
69	1	攻击	200901	陨石球	200701	暴风雪	10
70	1	攻击	200901	陨石球	200801	龙卷风	10
71	1	攻击	200901	陨石球	201001	烈性炸药	10
72	1	攻击	200901	陨石球	201101	隐身斗篷	10
73	1	攻击	201001	烈性炸药	200201	冰霜球	10
74	1	攻击	201001	烈性炸药	200301	雷电球	10
75	1	攻击	201001	烈性炸药	200401	大雪球	10
76	1	攻击	201001	烈性炸药	200501	墨水球	10
77	1	攻击	201001	烈性炸药	200601	恶魔球	10
78	1	攻击	201001	烈性炸药	200701	暴风雪	10
79	1	攻击	201001	烈性炸药	200801	龙卷风	10
80	1	攻击	201001	烈性炸药	200901	陨石球	10
81	1	攻击	201001	烈性炸药	201101	隐身斗篷	10
82	1	攻击	201101	隐身斗篷	200201	冰霜球	10
83	1	攻击	201101	隐身斗篷	200301	雷电球	10
84	1	攻击	201101	隐身斗篷	200401	大雪球	10
85	1	攻击	201101	隐身斗篷	200501	墨水球	10
86	1	攻击	201101	隐身斗篷	200601	恶魔球	10
87	1	攻击	201101	隐身斗篷	200701	暴风雪	10
88	1	攻击	201101	隐身斗篷	200801	龙卷风	10
89	1	攻击	201101	隐身斗篷	200901	陨石球	10
90	1	攻击	201101	隐身斗篷	201001	烈性炸药	10
91	2	生命	200201	冰霜球	200301	雷电球	10
92	2	生命	200201	冰霜球	200401	大雪球	10
93	2	生命	200201	冰霜球	200501	墨水球	10
94	2	生命	200201	冰霜球	200601	恶魔球	10
95	2	生命	200201	冰霜球	200701	暴风雪	10
96	2	生命	200201	冰霜球	200801	龙卷风	10
97	2	生命	200201	冰霜球	200901	陨石球	2
98	2	生命	200201	冰霜球	201001	烈性炸药	10
99	2	生命	200201	冰霜球	201101	隐身斗篷	10
100	2	生命	200301	雷电球	200201	冰霜球	10
101	2	生命	200301	雷电球	200401	大雪球	10
102	2	生命	200301	雷电球	200501	墨水球	10
103	2	生命	200301	雷电球	200601	恶魔球	10
104	2	生命	200301	雷电球	200701	暴风雪	10
105	2	生命	200301	雷电球	200801	龙卷风	10
106	2	生命	200301	雷电球	200901	陨石球	1
107	2	生命	200301	雷电球	201001	烈性炸药	10
108	2	生命	200301	雷电球	201101	隐身斗篷	10
109	2	生命	200401	大雪球	200201	冰霜球	10
110	2	生命	200401	大雪球	200301	雷电球	10
111	2	生命	200401	大雪球	200501	墨水球	10
112	2	生命	200401	大雪球	200601	恶魔球	10
113	2	生命	200401	大雪球	200701	暴风雪	10
114	2	生命	200401	大雪球	200801	龙卷风	10
115	2	生命	200401	大雪球	200901	陨石球	10
116	2	生命	200401	大雪球	201001	烈性炸药	10
117	2	生命	200401	大雪球	201101	隐身斗篷	10
118	2	生命	200501	墨水球	200201	冰霜球	10
119	2	生命	200501	墨水球	200301	雷电球	10
120	2	生命	200501	墨水球	200401	大雪球	10
121	2	生命	200501	墨水球	200601	恶魔球	10
122	2	生命	200501	墨水球	200701	暴风雪	10
123	2	生命	200501	墨水球	200801	龙卷风	10
124	2	生命	200501	墨水球	200901	陨石球	10
125	2	生命	200501	墨水球	201001	烈性炸药	10
126	2	生命	200501	墨水球	201101	隐身斗篷	10
127	2	生命	200601	恶魔球	200201	冰霜球	10
128	2	生命	200601	恶魔球	200301	雷电球	10
129	2	生命	200601	恶魔球	200401	大雪球	10
130	2	生命	200601	恶魔球	200501	墨水球	10
131	2	生命	200601	恶魔球	200701	暴风雪	10
132	2	生命	200601	恶魔球	200801	龙卷风	10
133	2	生命	200601	恶魔球	200901	陨石球	10
134	2	生命	200601	恶魔球	201001	烈性炸药	10
135	2	生命	200601	恶魔球	201101	隐身斗篷	10
136	2	生命	200701	暴风雪	200201	冰霜球	10
137	2	生命	200701	暴风雪	200301	雷电球	10
138	2	生命	200701	暴风雪	200401	大雪球	10
139	2	生命	200701	暴风雪	200501	墨水球	10
140	2	生命	200701	暴风雪	200601	恶魔球	10
141	2	生命	200701	暴风雪	200801	龙卷风	10
142	2	生命	200701	暴风雪	200901	陨石球	10
143	2	生命	200701	暴风雪	201001	烈性炸药	10
144	2	生命	200701	暴风雪	201101	隐身斗篷	10
145	2	生命	200801	龙卷风	200201	冰霜球	10
146	2	生命	200801	龙卷风	200301	雷电球	10
147	2	生命	200801	龙卷风	200401	大雪球	10
148	2	生命	200801	龙卷风	200501	墨水球	10
149	2	生命	200801	龙卷风	200601	恶魔球	10
150	2	生命	200801	龙卷风	200701	暴风雪	10
151	2	生命	200801	龙卷风	200901	陨石球	10
152	2	生命	200801	龙卷风	201001	烈性炸药	10
153	2	生命	200801	龙卷风	201101	隐身斗篷	10
154	2	生命	200901	陨石球	200201	冰霜球	2
155	2	生命	200901	陨石球	200301	雷电球	1
156	2	生命	200901	陨石球	200401	大雪球	10
157	2	生命	200901	陨石球	200501	墨水球	10
158	2	生命	200901	陨石球	200601	恶魔球	10
159	2	生命	200901	陨石球	200701	暴风雪	10
160	2	生命	200901	陨石球	200801	龙卷风	10
161	2	生命	200901	陨石球	201001	烈性炸药	10
162	2	生命	200901	陨石球	201101	隐身斗篷	10
163	2	生命	201001	烈性炸药	200201	冰霜球	10
164	2	生命	201001	烈性炸药	200301	雷电球	10
165	2	生命	201001	烈性炸药	200401	大雪球	10
166	2	生命	201001	烈性炸药	200501	墨水球	10
167	2	生命	201001	烈性炸药	200601	恶魔球	10
168	2	生命	201001	烈性炸药	200701	暴风雪	10
169	2	生命	201001	烈性炸药	200801	龙卷风	10
170	2	生命	201001	烈性炸药	200901	陨石球	10
171	2	生命	201001	烈性炸药	201101	隐身斗篷	10
172	2	生命	201101	隐身斗篷	200201	冰霜球	10
173	2	生命	201101	隐身斗篷	200301	雷电球	10
174	2	生命	201101	隐身斗篷	200401	大雪球	10
175	2	生命	201101	隐身斗篷	200501	墨水球	10
176	2	生命	201101	隐身斗篷	200601	恶魔球	10
177	2	生命	201101	隐身斗篷	200701	暴风雪	10
178	2	生命	201101	隐身斗篷	200801	龙卷风	10
179	2	生命	201101	隐身斗篷	200901	陨石球	10
180	2	生命	201101	隐身斗篷	201001	烈性炸药	10
181	3	射程	200201	冰霜球	200301	雷电球	10
182	3	射程	200201	冰霜球	200401	大雪球	10
183	3	射程	200201	冰霜球	200501	墨水球	10
184	3	射程	200201	冰霜球	200601	恶魔球	10
185	3	射程	200201	冰霜球	200701	暴风雪	10
186	3	射程	200201	冰霜球	200801	龙卷风	10
187	3	射程	200201	冰霜球	200901	陨石球	2
188	3	射程	200201	冰霜球	201001	烈性炸药	10
189	3	射程	200201	冰霜球	201101	隐身斗篷	10
190	3	射程	200301	雷电球	200201	冰霜球	10
191	3	射程	200301	雷电球	200401	大雪球	10
192	3	射程	200301	雷电球	200501	墨水球	10
193	3	射程	200301	雷电球	200601	恶魔球	10
194	3	射程	200301	雷电球	200701	暴风雪	10
195	3	射程	200301	雷电球	200801	龙卷风	10
196	3	射程	200301	雷电球	200901	陨石球	1
197	3	射程	200301	雷电球	201001	烈性炸药	10
198	3	射程	200301	雷电球	201101	隐身斗篷	10
199	3	射程	200401	大雪球	200201	冰霜球	10
200	3	射程	200401	大雪球	200301	雷电球	10
201	3	射程	200401	大雪球	200501	墨水球	10
202	3	射程	200401	大雪球	200601	恶魔球	10
203	3	射程	200401	大雪球	200701	暴风雪	10
204	3	射程	200401	大雪球	200801	龙卷风	10
205	3	射程	200401	大雪球	200901	陨石球	10
206	3	射程	200401	大雪球	201001	烈性炸药	10
207	3	射程	200401	大雪球	201101	隐身斗篷	10
208	3	射程	200501	墨水球	200201	冰霜球	10
209	3	射程	200501	墨水球	200301	雷电球	10
210	3	射程	200501	墨水球	200401	大雪球	10
211	3	射程	200501	墨水球	200601	恶魔球	10
212	3	射程	200501	墨水球	200701	暴风雪	10
213	3	射程	200501	墨水球	200801	龙卷风	10
214	3	射程	200501	墨水球	200901	陨石球	10
215	3	射程	200501	墨水球	201001	烈性炸药	10
216	3	射程	200501	墨水球	201101	隐身斗篷	10
217	3	射程	200601	恶魔球	200201	冰霜球	10
218	3	射程	200601	恶魔球	200301	雷电球	10
219	3	射程	200601	恶魔球	200401	大雪球	10
220	3	射程	200601	恶魔球	200501	墨水球	10
221	3	射程	200601	恶魔球	200701	暴风雪	10
222	3	射程	200601	恶魔球	200801	龙卷风	10
223	3	射程	200601	恶魔球	200901	陨石球	10
224	3	射程	200601	恶魔球	201001	烈性炸药	10
225	3	射程	200601	恶魔球	201101	隐身斗篷	10
226	3	射程	200701	暴风雪	200201	冰霜球	10
227	3	射程	200701	暴风雪	200301	雷电球	10
228	3	射程	200701	暴风雪	200401	大雪球	10
229	3	射程	200701	暴风雪	200501	墨水球	10
230	3	射程	200701	暴风雪	200601	恶魔球	10
231	3	射程	200701	暴风雪	200801	龙卷风	10
232	3	射程	200701	暴风雪	200901	陨石球	10
233	3	射程	200701	暴风雪	201001	烈性炸药	10
234	3	射程	200701	暴风雪	201101	隐身斗篷	10
235	3	射程	200801	龙卷风	200201	冰霜球	10
236	3	射程	200801	龙卷风	200301	雷电球	10
237	3	射程	200801	龙卷风	200401	大雪球	10
238	3	射程	200801	龙卷风	200501	墨水球	10
239	3	射程	200801	龙卷风	200601	恶魔球	10
240	3	射程	200801	龙卷风	200701	暴风雪	10
241	3	射程	200801	龙卷风	200901	陨石球	10
242	3	射程	200801	龙卷风	201001	烈性炸药	10
243	3	射程	200801	龙卷风	201101	隐身斗篷	10
244	3	射程	200901	陨石球	200201	冰霜球	2
245	3	射程	200901	陨石球	200301	雷电球	1
246	3	射程	200901	陨石球	200401	大雪球	10
247	3	射程	200901	陨石球	200501	墨水球	10
248	3	射程	200901	陨石球	200601	恶魔球	10
249	3	射程	200901	陨石球	200701	暴风雪	10
250	3	射程	200901	陨石球	200801	龙卷风	10
251	3	射程	200901	陨石球	201001	烈性炸药	10
252	3	射程	200901	陨石球	201101	隐身斗篷	10
253	3	射程	201001	烈性炸药	200201	冰霜球	10
254	3	射程	201001	烈性炸药	200301	雷电球	10
255	3	射程	201001	烈性炸药	200401	大雪球	10
256	3	射程	201001	烈性炸药	200501	墨水球	10
257	3	射程	201001	烈性炸药	200601	恶魔球	10
258	3	射程	201001	烈性炸药	200701	暴风雪	10
259	3	射程	201001	烈性炸药	200801	龙卷风	10
260	3	射程	201001	烈性炸药	200901	陨石球	10
261	3	射程	201001	烈性炸药	201101	隐身斗篷	10
262	3	射程	201101	隐身斗篷	200201	冰霜球	10
263	3	射程	201101	隐身斗篷	200301	雷电球	10
264	3	射程	201101	隐身斗篷	200401	大雪球	10
265	3	射程	201101	隐身斗篷	200501	墨水球	10
266	3	射程	201101	隐身斗篷	200601	恶魔球	10
267	3	射程	201101	隐身斗篷	200701	暴风雪	10
268	3	射程	201101	隐身斗篷	200801	龙卷风	10
269	3	射程	201101	隐身斗篷	200901	陨石球	10
270	3	射程	201101	隐身斗篷	201001	烈性炸药	10
271	4	移速	200201	冰霜球	200301	雷电球	10
272	4	移速	200201	冰霜球	200401	大雪球	10
273	4	移速	200201	冰霜球	200501	墨水球	10
274	4	移速	200201	冰霜球	200601	恶魔球	10
275	4	移速	200201	冰霜球	200701	暴风雪	10
276	4	移速	200201	冰霜球	200801	龙卷风	10
277	4	移速	200201	冰霜球	200901	陨石球	2
278	4	移速	200201	冰霜球	201001	烈性炸药	10
279	4	移速	200201	冰霜球	201101	隐身斗篷	10
280	4	移速	200301	雷电球	200201	冰霜球	10
281	4	移速	200301	雷电球	200401	大雪球	10
282	4	移速	200301	雷电球	200501	墨水球	10
283	4	移速	200301	雷电球	200601	恶魔球	10
284	4	移速	200301	雷电球	200701	暴风雪	10
285	4	移速	200301	雷电球	200801	龙卷风	10
286	4	移速	200301	雷电球	200901	陨石球	1
287	4	移速	200301	雷电球	201001	烈性炸药	10
288	4	移速	200301	雷电球	201101	隐身斗篷	10
289	4	移速	200401	大雪球	200201	冰霜球	10
290	4	移速	200401	大雪球	200301	雷电球	10
291	4	移速	200401	大雪球	200501	墨水球	10
292	4	移速	200401	大雪球	200601	恶魔球	10
293	4	移速	200401	大雪球	200701	暴风雪	10
294	4	移速	200401	大雪球	200801	龙卷风	10
295	4	移速	200401	大雪球	200901	陨石球	10
296	4	移速	200401	大雪球	201001	烈性炸药	10
297	4	移速	200401	大雪球	201101	隐身斗篷	10
298	4	移速	200501	墨水球	200201	冰霜球	10
299	4	移速	200501	墨水球	200301	雷电球	10
300	4	移速	200501	墨水球	200401	大雪球	10
301	4	移速	200501	墨水球	200601	恶魔球	10
302	4	移速	200501	墨水球	200701	暴风雪	10
303	4	移速	200501	墨水球	200801	龙卷风	10
304	4	移速	200501	墨水球	200901	陨石球	10
305	4	移速	200501	墨水球	201001	烈性炸药	10
306	4	移速	200501	墨水球	201101	隐身斗篷	10
307	4	移速	200601	恶魔球	200201	冰霜球	10
308	4	移速	200601	恶魔球	200301	雷电球	10
309	4	移速	200601	恶魔球	200401	大雪球	10
310	4	移速	200601	恶魔球	200501	墨水球	10
311	4	移速	200601	恶魔球	200701	暴风雪	10
312	4	移速	200601	恶魔球	200801	龙卷风	10
313	4	移速	200601	恶魔球	200901	陨石球	10
314	4	移速	200601	恶魔球	201001	烈性炸药	10
315	4	移速	200601	恶魔球	201101	隐身斗篷	10
316	4	移速	200701	暴风雪	200201	冰霜球	10
317	4	移速	200701	暴风雪	200301	雷电球	10
318	4	移速	200701	暴风雪	200401	大雪球	10
319	4	移速	200701	暴风雪	200501	墨水球	10
320	4	移速	200701	暴风雪	200601	恶魔球	10
321	4	移速	200701	暴风雪	200801	龙卷风	10
322	4	移速	200701	暴风雪	200901	陨石球	10
323	4	移速	200701	暴风雪	201001	烈性炸药	10
324	4	移速	200701	暴风雪	201101	隐身斗篷	10
325	4	移速	200801	龙卷风	200201	冰霜球	10
326	4	移速	200801	龙卷风	200301	雷电球	10
327	4	移速	200801	龙卷风	200401	大雪球	10
328	4	移速	200801	龙卷风	200501	墨水球	10
329	4	移速	200801	龙卷风	200601	恶魔球	10
330	4	移速	200801	龙卷风	200701	暴风雪	10
331	4	移速	200801	龙卷风	200901	陨石球	10
332	4	移速	200801	龙卷风	201001	烈性炸药	10
333	4	移速	200801	龙卷风	201101	隐身斗篷	10
334	4	移速	200901	陨石球	200201	冰霜球	2
335	4	移速	200901	陨石球	200301	雷电球	1
336	4	移速	200901	陨石球	200401	大雪球	10
337	4	移速	200901	陨石球	200501	墨水球	10
338	4	移速	200901	陨石球	200601	恶魔球	10
339	4	移速	200901	陨石球	200701	暴风雪	10
340	4	移速	200901	陨石球	200801	龙卷风	10
341	4	移速	200901	陨石球	201001	烈性炸药	10
342	4	移速	200901	陨石球	201101	隐身斗篷	10
343	4	移速	201001	烈性炸药	200201	冰霜球	10
344	4	移速	201001	烈性炸药	200301	雷电球	10
345	4	移速	201001	烈性炸药	200401	大雪球	10
346	4	移速	201001	烈性炸药	200501	墨水球	10
347	4	移速	201001	烈性炸药	200601	恶魔球	10
348	4	移速	201001	烈性炸药	200701	暴风雪	10
349	4	移速	201001	烈性炸药	200801	龙卷风	10
350	4	移速	201001	烈性炸药	200901	陨石球	10
351	4	移速	201001	烈性炸药	201101	隐身斗篷	10
352	4	移速	201101	隐身斗篷	200201	冰霜球	10
353	4	移速	201101	隐身斗篷	200301	雷电球	10
354	4	移速	201101	隐身斗篷	200401	大雪球	10
355	4	移速	201101	隐身斗篷	200501	墨水球	10
356	4	移速	201101	隐身斗篷	200601	恶魔球	10
357	4	移速	201101	隐身斗篷	200701	暴风雪	10
358	4	移速	201101	隐身斗篷	200801	龙卷风	10
359	4	移速	201101	隐身斗篷	200901	陨石球	10
360	4	移速	201101	隐身斗篷	201001	烈性炸药	10
361	5	减伤	200201	冰霜球	200301	雷电球	10
362	5	减伤	200201	冰霜球	200401	大雪球	10
363	5	减伤	200201	冰霜球	200501	墨水球	10
364	5	减伤	200201	冰霜球	200601	恶魔球	10
365	5	减伤	200201	冰霜球	200701	暴风雪	10
366	5	减伤	200201	冰霜球	200801	龙卷风	10
367	5	减伤	200201	冰霜球	200901	陨石球	2
368	5	减伤	200201	冰霜球	201001	烈性炸药	10
369	5	减伤	200201	冰霜球	201101	隐身斗篷	10
370	5	减伤	200301	雷电球	200201	冰霜球	10
371	5	减伤	200301	雷电球	200401	大雪球	10
372	5	减伤	200301	雷电球	200501	墨水球	10
373	5	减伤	200301	雷电球	200601	恶魔球	10
374	5	减伤	200301	雷电球	200701	暴风雪	10
375	5	减伤	200301	雷电球	200801	龙卷风	10
376	5	减伤	200301	雷电球	200901	陨石球	1
377	5	减伤	200301	雷电球	201001	烈性炸药	10
378	5	减伤	200301	雷电球	201101	隐身斗篷	10
379	5	减伤	200401	大雪球	200201	冰霜球	10
380	5	减伤	200401	大雪球	200301	雷电球	10
381	5	减伤	200401	大雪球	200501	墨水球	10
382	5	减伤	200401	大雪球	200601	恶魔球	10
383	5	减伤	200401	大雪球	200701	暴风雪	10
384	5	减伤	200401	大雪球	200801	龙卷风	10
385	5	减伤	200401	大雪球	200901	陨石球	10
386	5	减伤	200401	大雪球	201001	烈性炸药	10
387	5	减伤	200401	大雪球	201101	隐身斗篷	10
388	5	减伤	200501	墨水球	200201	冰霜球	10
389	5	减伤	200501	墨水球	200301	雷电球	10
390	5	减伤	200501	墨水球	200401	大雪球	10
391	5	减伤	200501	墨水球	200601	恶魔球	10
392	5	减伤	200501	墨水球	200701	暴风雪	10
393	5	减伤	200501	墨水球	200801	龙卷风	10
394	5	减伤	200501	墨水球	200901	陨石球	10
395	5	减伤	200501	墨水球	201001	烈性炸药	10
396	5	减伤	200501	墨水球	201101	隐身斗篷	10
397	5	减伤	200601	恶魔球	200201	冰霜球	10
398	5	减伤	200601	恶魔球	200301	雷电球	10
399	5	减伤	200601	恶魔球	200401	大雪球	10
400	5	减伤	200601	恶魔球	200501	墨水球	10
401	5	减伤	200601	恶魔球	200701	暴风雪	10
402	5	减伤	200601	恶魔球	200801	龙卷风	10
403	5	减伤	200601	恶魔球	200901	陨石球	10
404	5	减伤	200601	恶魔球	201001	烈性炸药	10
405	5	减伤	200601	恶魔球	201101	隐身斗篷	10
406	5	减伤	200701	暴风雪	200201	冰霜球	10
407	5	减伤	200701	暴风雪	200301	雷电球	10
408	5	减伤	200701	暴风雪	200401	大雪球	10
409	5	减伤	200701	暴风雪	200501	墨水球	10
410	5	减伤	200701	暴风雪	200601	恶魔球	10
411	5	减伤	200701	暴风雪	200801	龙卷风	10
412	5	减伤	200701	暴风雪	200901	陨石球	10
413	5	减伤	200701	暴风雪	201001	烈性炸药	10
414	5	减伤	200701	暴风雪	201101	隐身斗篷	10
415	5	减伤	200801	龙卷风	200201	冰霜球	10
416	5	减伤	200801	龙卷风	200301	雷电球	10
417	5	减伤	200801	龙卷风	200401	大雪球	10
418	5	减伤	200801	龙卷风	200501	墨水球	10
419	5	减伤	200801	龙卷风	200601	恶魔球	10
420	5	减伤	200801	龙卷风	200701	暴风雪	10
421	5	减伤	200801	龙卷风	200901	陨石球	10
422	5	减伤	200801	龙卷风	201001	烈性炸药	10
423	5	减伤	200801	龙卷风	201101	隐身斗篷	10
424	5	减伤	200901	陨石球	200201	冰霜球	2
425	5	减伤	200901	陨石球	200301	雷电球	1
426	5	减伤	200901	陨石球	200401	大雪球	10
427	5	减伤	200901	陨石球	200501	墨水球	10
428	5	减伤	200901	陨石球	200601	恶魔球	10
429	5	减伤	200901	陨石球	200701	暴风雪	10
430	5	减伤	200901	陨石球	200801	龙卷风	10
431	5	减伤	200901	陨石球	201001	烈性炸药	10
432	5	减伤	200901	陨石球	201101	隐身斗篷	10
433	5	减伤	201001	烈性炸药	200201	冰霜球	10
434	5	减伤	201001	烈性炸药	200301	雷电球	10
435	5	减伤	201001	烈性炸药	200401	大雪球	10
436	5	减伤	201001	烈性炸药	200501	墨水球	10
437	5	减伤	201001	烈性炸药	200601	恶魔球	10
438	5	减伤	201001	烈性炸药	200701	暴风雪	10
439	5	减伤	201001	烈性炸药	200801	龙卷风	10
440	5	减伤	201001	烈性炸药	200901	陨石球	10
441	5	减伤	201001	烈性炸药	201101	隐身斗篷	10
442	5	减伤	201101	隐身斗篷	200201	冰霜球	10
443	5	减伤	201101	隐身斗篷	200301	雷电球	10
444	5	减伤	201101	隐身斗篷	200401	大雪球	10
445	5	减伤	201101	隐身斗篷	200501	墨水球	10
446	5	减伤	201101	隐身斗篷	200601	恶魔球	10
447	5	减伤	201101	隐身斗篷	200701	暴风雪	10
448	5	减伤	201101	隐身斗篷	200801	龙卷风	10
449	5	减伤	201101	隐身斗篷	200901	陨石球	10
450	5	减伤	201101	隐身斗篷	201001	烈性炸药	10
451	6	雪人冷却	200201	冰霜球	200301	雷电球	10
452	6	雪人冷却	200201	冰霜球	200401	大雪球	10
453	6	雪人冷却	200201	冰霜球	200501	墨水球	10
454	6	雪人冷却	200201	冰霜球	200601	恶魔球	10
455	6	雪人冷却	200201	冰霜球	200701	暴风雪	10
456	6	雪人冷却	200201	冰霜球	200801	龙卷风	10
457	6	雪人冷却	200201	冰霜球	200901	陨石球	2
458	6	雪人冷却	200201	冰霜球	201001	烈性炸药	10
459	6	雪人冷却	200201	冰霜球	201101	隐身斗篷	10
460	6	雪人冷却	200301	雷电球	200201	冰霜球	10
461	6	雪人冷却	200301	雷电球	200401	大雪球	10
462	6	雪人冷却	200301	雷电球	200501	墨水球	10
463	6	雪人冷却	200301	雷电球	200601	恶魔球	10
464	6	雪人冷却	200301	雷电球	200701	暴风雪	10
465	6	雪人冷却	200301	雷电球	200801	龙卷风	10
466	6	雪人冷却	200301	雷电球	200901	陨石球	1
467	6	雪人冷却	200301	雷电球	201001	烈性炸药	10
468	6	雪人冷却	200301	雷电球	201101	隐身斗篷	10
469	6	雪人冷却	200401	大雪球	200201	冰霜球	10
470	6	雪人冷却	200401	大雪球	200301	雷电球	10
471	6	雪人冷却	200401	大雪球	200501	墨水球	10
472	6	雪人冷却	200401	大雪球	200601	恶魔球	10
473	6	雪人冷却	200401	大雪球	200701	暴风雪	10
474	6	雪人冷却	200401	大雪球	200801	龙卷风	10
475	6	雪人冷却	200401	大雪球	200901	陨石球	10
476	6	雪人冷却	200401	大雪球	201001	烈性炸药	10
477	6	雪人冷却	200401	大雪球	201101	隐身斗篷	10
478	6	雪人冷却	200501	墨水球	200201	冰霜球	10
479	6	雪人冷却	200501	墨水球	200301	雷电球	10
480	6	雪人冷却	200501	墨水球	200401	大雪球	10
481	6	雪人冷却	200501	墨水球	200601	恶魔球	10
482	6	雪人冷却	200501	墨水球	200701	暴风雪	10
483	6	雪人冷却	200501	墨水球	200801	龙卷风	10
484	6	雪人冷却	200501	墨水球	200901	陨石球	10
485	6	雪人冷却	200501	墨水球	201001	烈性炸药	10
486	6	雪人冷却	200501	墨水球	201101	隐身斗篷	10
487	6	雪人冷却	200601	恶魔球	200201	冰霜球	10
488	6	雪人冷却	200601	恶魔球	200301	雷电球	10
489	6	雪人冷却	200601	恶魔球	200401	大雪球	10
490	6	雪人冷却	200601	恶魔球	200501	墨水球	10
491	6	雪人冷却	200601	恶魔球	200701	暴风雪	10
492	6	雪人冷却	200601	恶魔球	200801	龙卷风	10
493	6	雪人冷却	200601	恶魔球	200901	陨石球	10
494	6	雪人冷却	200601	恶魔球	201001	烈性炸药	10
495	6	雪人冷却	200601	恶魔球	201101	隐身斗篷	10
496	6	雪人冷却	200701	暴风雪	200201	冰霜球	10
497	6	雪人冷却	200701	暴风雪	200301	雷电球	10
498	6	雪人冷却	200701	暴风雪	200401	大雪球	10
499	6	雪人冷却	200701	暴风雪	200501	墨水球	10
500	6	雪人冷却	200701	暴风雪	200601	恶魔球	10
501	6	雪人冷却	200701	暴风雪	200801	龙卷风	10
502	6	雪人冷却	200701	暴风雪	200901	陨石球	10
503	6	雪人冷却	200701	暴风雪	201001	烈性炸药	10
504	6	雪人冷却	200701	暴风雪	201101	隐身斗篷	10
