INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
35	1085	2	30010004	1		1	2	20						3501			3	8		5400	3	1		4	3	2		3	3	7		2												
36	1125	1	4	8		1	2	20						3601	3602		3	8		5500	3	1		4	3	2		3	3	7		2												
37	1165	2	30010004	1		1	2	20						3701			3	8		5600	3	1		4	3	2		3	3	7		2												
38	1205	1	4	8		1	2	20						3801	3802		3	8		5700	3	1		4	3	2		3	3	7		2												
39	1245	2	30010004	1		1	2	20						3901			3	8		5800	3	1		4	3	2		3	3	7		2												
40	1285	1	4	10		1	2	25						4001	4002		3	8		5900	3	1		4	3	2		3	3	7		2												
41	1325	2	30010004	1		1	2	25						4101			3	8		6000	3	1		5	3	2		4	3	7		3												
42	1370	1	4	10		1	2	25						4201	4202		3	8		6000	3	1		5	3	2		4	3	7		3												
43	1415	2	30010004	1		1	2	25						4301			3	8		6000	3	1		5	3	2		4	3	7		3												
44	1460	1	4	10		1	2	25						4401	4402		3	8		6000	3	1		5	3	2		4	3	7		3												
45	1505	2	30010004	1		1	2	25						4501			3	8		6000	3	1		5	3	2		4	3	7		3												
46	1550	1	4	10		1	2	25						4601	4602		3	8		6000	3	1		5	3	2		4	3	7		3												
47	1595	2	30010004	1		1	2	25						4701			3	8		6000	3	1		5	3	2		4	3	7		3												
48	1640	1	4	10		1	2	25						4801	4802		3	8		6000	3	1		5	3	2		4	3	7		3												
49	1685	2	30010004	1		1	2	25						4901			3	8		6000	3	1		5	3	2		4	3	7		3												
50	1730	1	4	12		1	2	30						5001	5002		3	8		6000	3	1		5	3	2		4	3	7		3												
51	1775	2	30010004	1		1	2	30						5101			3	8		6000	3	1		5	3	2		5	3	7		4												
52	1825	1	4	12		1	2	30						5201	5202		3	8		6000	3	1		5	3	2		5	3	7		4												
53	1875	2	30010004	1		1	2	30						5301			3	8		6000	3	1		5	3	2		5	3	7		4												
54	1925	1	4	12		1	2	30						5401	5402		3	8		6000	3	1		5	3	2		5	3	7		4												
55	1975	2	30010004	1		1	2	30						5501			3	8		6000	3	1		5	3	2		5	3	7		4												
56	2025	1	4	12		1	2	30						5601	5602		3	8		6000	3	1		5	3	2		5	3	7		4												
57	2075	2	30010004	1		1	2	30						5701			3	8		6000	3	1		5	3	2		5	3	7		4												
58	2125	1	4	12		1	2	30						5801	5802		3	8		6000	3	1		5	3	2		5	3	7		4												
59	2175	2	30010004	1		1	2	30						5901			3	8		6000	3	1		5	3	2		5	3	7		5												
60	2225	1	4	14		1	2	35						6001	6002		3	8		6000	3	1		5	3	2		5	3	7		5												
61	2275	2	30010004	1		1	2	35						6101			3	8		6000	3	1		5	3	2		5	3	7		5												
62	2330	1	4	14		1	2	35						6201	6202		3	8		6000	3	1		5	3	2		5	3	7		5												
63	2385	2	30010004	1		1	2	35						6301			3	8		6000	3	1		5	3	2		5	3	7		5												
64	2440	1	4	14		1	2	35						6401	6402		3	8		6000	3	1		5	3	2		5	3	7		5												
65	2495	2	30010004	1		1	2	35						6501			3	8		6000	3	1		5	3	2		5	3	7		5												
66	2550	1	4	14		1	2	35						6601	6602		3	8		6000	3	1		5	3	2		5	3	7		5												
67	2605	2	30010004	1		1	2	35						6701			3	8		6000	3	1		5	3	2		5	3	7		5												
68	2660	1	4	14		1	2	35						6801	6802		3	8		6000	3	1		5	3	2		5	3	7		5												
69	2715	2	30010004	1		1	2	35						6901			3	8		6000	3	1		5	3	2		5	3	7		5												
70	2770	1	4	16		1	2	40						7001	7002		3	8		6000	3	1		5	3	2		5	3	7		5												
71	2825	2	30010004	1		1	2	40						7101			3	8		6000	3	1		5	3	2		5	3	7		5												
72	2885	1	4	16		1	2	40						7201	7202		3	8		6000	3	1		5	3	2		5	3	7		5												
73	2945	2	30010004	1		1	2	40						7301			3	8		6000	3	1		5	3	2		5	3	7		5												
74	3005	1	4	16		1	2	40						7401	7402		3	8		6000	3	1		5	3	2		5	3	7		5												
75	3065	2	30010004	1		1	2	40						7501			3	8		6000	3	1		5	3	2		5	3	7		5												
76	3125	1	4	16		1	2	40						7601	7602		3	8		6000	3	1		5	3	2		5	3	7		5												
77	3185	2	30010004	1		1	2	40						7701			3	8		6000	3	1		5	3	2		5	3	7		5												
78	3245	1	4	16		1	2	40						7801	7802		3	8		6000	3	1		5	3	2		5	3	7		5												
79	3305	2	30010004	1		1	2	40						7901			3	8		6000	3	1		5	3	2		5	3	7		5												
80	3365	1	4	18		1	2	45						8001	8002		3	8		6000	3	1		5	3	2		5	3	7		5												
81	3425	2	30010004	1		1	2	45						8101			3	8		6000	3	1		5	3	2		5	3	7		5												
82	3490	1	4	18		1	2	45						8201	8202		3	8		6000	3	1		5	3	2		5	3	7		5												
83	3555	2	30010004	1		1	2	45						8301			3	8		6000	3	1		5	3	2		5	3	7		5												
84	3620	1	4	18		1	2	45						8401	8402		3	8		6000	3	1		5	3	2		5	3	7		5												
85	3685	2	30010004	1		1	2	45						8501			3	8		6000	3	1		5	3	2		5	3	7		5												
86	3750	1	4	18		1	2	45						8601	8602		3	8		6000	3	1		5	3	2		5	3	7		5												
87	3815	2	30010004	1		1	2	45						8701			3	8		6000	3	1		5	3	2		5	3	7		5												
88	3880	1	4	18		1	2	45						8801	8802		3	8		6000	3	1		5	3	2		5	3	7		5												
89	3945	2	30010004	1		1	2	45						8901			3	8		6000	3	1		5	3	2		5	3	7		5												
90	4010	1	4	20		1	2	50						9001	9002		3	8		6000	3	1		5	3	2		5	3	7		5												
91	4075	2	30010004	1		1	2	50						9101			3	8		6000	3	1		5	3	2		5	3	7		5												
92	4145	1	4	20		1	2	50						9201	9202		3	8		6000	3	1		5	3	2		5	3	7		5												
93	4215	2	30010004	1		1	2	50						9301			3	8		6000	3	1		5	3	2		5	3	7		5												
94	4285	1	4	20		1	2	50						9401	9402		3	8		6000	3	1		5	3	2		5	3	7		5												
95	4355	2	30010004	1		1	2	50						9501			3	8		6000	3	1		5	3	2		5	3	7		5												
96	4425	1	4	20		1	2	50						9601	9602		3	8		6000	3	1		5	3	2		5	3	7		5												
97	4495	2	30010004	1		1	2	50						9701			3	8		6000	3	1		5	3	2		5	3	7		5												
98	4565	1	4	20		1	2	50						9801	9802		3	8		6000	3	1		5	3	2		5	3	7		5												
99	4635	2	30010004	1		1	2	50						9901			3	8		6000	3	1		5	3	2		5	3	7		5												
100	4705	1	4	22		1	2	55						10001	10002		3	8		6000	3	1		5	3	2		5	3	7		5												
