INT	STRING	STRING	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
215	大豆豆	t_role_name_215				snow_kfa05				penguin_die		900		50		20			15000	25000									1				
1001	酷酷	t_role_name_1001	1	0	ic_m002	snow_m002	t_role_desc_1001	m002_1	m002_2	m002_3	m002_4	1200	30	200	5	20	2	50000	10000	36000	3002			1001			10011001	20	0	0	-6	0	-2
1002	妮妮	t_role_name_1002	1	1	ic_f002	snow_f002	t_role_desc_1002	f002_1	f002_2	f002_3	f002_4	1200	30	200	5	20	2	50000	10000	36000	3001			1002			10011002	20	0	0	-6	0	0
1003	小狸	t_role_name_1003	1	0	ic_m003	snow_m003	t_role_desc_1003	m003_1	m003_2	m003_3	m003_4	1200	30	200	5	20	2	50000	10000	36000	3004			1003			10011003	20	0	0	0	0	0
1004	浣浣	t_role_name_1004	1	1	ic_f003	snow_f003	t_role_desc_1004	f003_1	f003_2	f003_3	f003_4	1200	30	200	5	20	2	50000	10000	36000	3003			1004			10011004	20	0	0	0	0	0
1005	牛牛	t_role_name_1005	1	0	ic_m004	snow_m004	t_role_desc_1005	m004_1	m004_2	m004_3	m004_4	1230	31	205	5	20	2	50000	10000	33000	3006			1005			10011005	20	0	0	0	2	0
1006	喵酱	t_role_name_1006	1	1	ic_f004	snow_f004	t_role_desc_1006	f004_1	f004_2	f004_3	f004_4	1230	31	205	5	20	2	50000	10000	33000	3005			1006			10011006	20	0	0	0	-3	0
1007	乐乐	t_role_name_1007	1	0	ic_m005	snow_m005	t_role_desc_1007	m005_1	m005_2	m005_3	m005_4	1170	29	195	5	20	2	50000	10000	39000	3001			1007			10011007	20	0	0	0	0	0
1008	雪儿	t_role_name_1008	1	1	ic_f005	snow_f005	t_role_desc_1008	f005_1	f005_2	f005_3	f005_4	1170	29	195	5	20	2	50000	10000	39000	3007			1008			10011008	20	0	0	-3	0	0
2001	甄姬	t_role_name_2001	2	1	ic_f001	snow_f001	t_role_desc_2001	f001_1	f001_2	f001_3	f001_4	1230	31	205	5	20	2	50000	10000	36000	1016			2001			10012001	60	0	99	0	0	0
2002	黄盖	t_role_name_2002	2	0	ic_m008	snow_m008	t_role_desc_2002	m008_1	m008_2	m008_3	m008_4	1230	31	205	5	20	2	50000	10000	36000	1013			2002			10012002	60	0	0	0	0	0
2003	嫦娥	t_role_name_2003	2	1	ic_f008	snow_f008	t_role_desc_2003	f008_1	f008_2	f008_3	f008_4	1200	30	200	5	20	2	50000	10000	39000	1001			2003			10012003	60	0	0	0	0	0
2004	周瑜	t_role_name_2004	2	0	ic_m007	snow_m007	t_role_desc_2004	m007_1	m007_2	m007_3	m007_4	1200	30	200	5	20	2	50000	10000	39000	1031			2004			10012004	60	0	99	0	0	0
2005	武则天	t_role_name_2005	2	1	ic_f007	snow_f007	t_role_desc_2005	f007_1	f007_2	f007_3	f007_4	1260	31	210	5	20	2	50000	10000	33000	1052			2005			10012005	60	0	99	0	0	0
2006	槽里马	t_role_name_2006	2	0	ic_m009	snow_m009	t_role_desc_2006	m009_1	m009_2	m009_3		1200	30	200	5	20	2	50000	10000	39000	1007			2006			10012006		0	3	-5	0	0
3001	吕布	t_role_name_3001	3	0	ic_m001	snow_m001	t_role_desc_3001	m001_1	m001_2	m001_3	m001_4	1290	32	215	5	20	2	50000	10000	33000	1046			3001			10013001	1001	0	99	0	-10	0
3002	貂蝉	t_role_name_3002	3	1	ic_f006	snow_f006	t_role_desc_3002	f006_1	f006_2	f006_3	f006_4	1230	31	205	5	20	2	50000	10000	39000	1069			3002			10013002	1002	0	99	0	0	0
3003	孙悟空	t_role_name_3003	3	0	ic_m006	snow_m006	t_role_desc_3003	m006_1	m006_2	m006_3	m006_4	1260	31	210	5	20	2	50000	10000	36000	1008			3003			10013003	1003	0	99	0	0	0
3004	紫霞	t_role_name_3004	3	1	ic_f009	snow_f009	t_role_desc_3004	f009_1	f009_2	f009_3	f009_4	1260	31	210	5	20	2	50000	10000	36000	1035			3004			10013004	1004	0	99	0	0	-2
3005	冷风	t_role_name_3005	3	0	ic_m010	snow_m010	t_role_desc_3005	m010_1	m010_2	m010_3		1290	32	215	5	20	2	50000	10000	33000	1073			3005			10013005		0	99	-2	0	0
3006	敖饼	t_role_name_3006	3	0	ic_m011	snow_m011	t_role_desc_3006	m011_1	m011_2	m011_3		1260	31	210	5	20	2	50000	10000	36000	1026			3006			10013006		0	99	0	10	5
