INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
35	4	100	牛牛	1005		1250	220	16	50000	15000	35000		100101		
36	4	100	喵酱	1006		1250	220	16	50000	15000	35000		100101		
37	4	100	乐乐	1007		1250	220	16	50000	15000	35000		100101		
38	4	100	雪儿	1008		1250	220	16	50000	15000	35000		100101		
39	4	50	甄姬	2001		1250	220	16	50000	15000	35000	2001	100101		
40	4	50	黄盖	2002		1250	220	16	50000	15000	35000	2002	100101		
41	4	50	嫦娥	2003		1250	220	16	50000	15000	35000	2003	100101		
42	4	50	周瑜	2004		1250	220	16	50000	15000	35000	2004	100101		
43	4	50	武则天	2005		1250	220	16	50000	15000	35000	2005	100101		
44	4	50	槽里马	2006		1250	220	16	50000	15000	35000	2006	100101		
45	5	100	酷酷	1001		1500	220	18	50000	15000	35000		100101		
46	5	100	妮妮	1002		1500	220	18	50000	15000	35000		100101		
47	5	100	小狸	1003		1500	220	18	50000	15000	35000		100101		
48	5	100	浣浣	1004		1500	220	18	50000	15000	35000		100101		
49	5	100	牛牛	1005		1500	220	18	50000	15000	35000		100101		
50	5	100	喵酱	1006		1500	220	18	50000	15000	35000		100101		
51	5	100	乐乐	1007		1500	220	18	50000	15000	35000		100101		
52	5	100	雪儿	1008		1500	220	18	50000	15000	35000		100101		
53	5	100	甄姬	2001		1500	220	18	50000	15000	35000	2001	100101		
54	5	100	黄盖	2002		1500	220	18	50000	15000	35000	2002	100101		
55	5	100	嫦娥	2003		1500	220	18	50000	15000	35000	2003	100101		
56	5	100	周瑜	2004		1500	220	18	50000	15000	35000	2004	100101		
57	5	100	武则天	2005		1500	220	18	50000	15000	35000	2005	100101		
58	5	100	槽里马	2006		1500	220	18	50000	15000	35000	2006	100101		
59	5	50	吕布	3001		1500	220	18	50000	15000	35000	3001	100101		
60	5	50	貂蝉	3002		1500	220	18	50000	15000	35000	3002	100101		
61	5	50	孙悟空	3003		1500	220	18	50000	15000	35000	3003	100101		
62	5	50	紫霞	3004		1500	220	18	50000	15000	35000	3004	100101		
63	5	50	冷风	3005		1500	220	18	50000	15000	35000	3005	100101		
64	5	50	敖饼	3006		1500	220	18	50000	15000	35000	3006	100101		
65	6	100	酷酷	1001		1750	220	20	50000	15000	35000		100101		
66	6	100	妮妮	1002		1750	220	20	50000	15000	35000		100101		
67	6	100	小狸	1003		1750	220	20	50000	15000	35000		100101		
68	6	100	浣浣	1004		1750	220	20	50000	15000	35000		100101		
69	6	100	牛牛	1005		1750	220	20	50000	15000	35000		100101		
70	6	100	喵酱	1006		1750	220	20	50000	15000	35000		100101		
71	6	100	乐乐	1007		1750	220	20	50000	15000	35000		100101		
72	6	100	雪儿	1008		1750	220	20	50000	15000	35000		100101		
73	6	100	甄姬	2001		1750	220	20	50000	15000	35000	2001	100101		
74	6	100	黄盖	2002		1750	220	20	50000	15000	35000	2002	100101		
75	6	100	嫦娥	2003		1750	220	20	50000	15000	35000	2003	100101		
76	6	100	周瑜	2004		1750	220	20	50000	15000	35000	2004	100101		
77	6	100	武则天	2005		1750	220	20	50000	15000	35000	2005	100101		
78	6	100	槽里马	2006		1750	220	20	50000	15000	35000	2006	100101		
79	6	100	吕布	3001		1750	220	20	50000	15000	35000	3001	100101		
80	6	50	貂蝉	3002		1750	220	20	50000	15000	35000	3002	100101		
81	6	50	孙悟空	3003		1750	220	20	50000	15000	35000	3003	100101		
82	6	50	紫霞	3004		1750	220	20	50000	15000	35000	3004	100101		
83	6	50	冷风	3005		1750	220	20	50000	15000	35000	3005	100101		
84	6	50	敖饼	3006		1750	220	20	50000	15000	35000	3006	100101		
85	7	100	酷酷	1001		2000	220	20	50000	15000	35000		100101		
86	7	100	妮妮	1002		2000	220	20	50000	15000	35000		100101		
87	7	100	小狸	1003		2000	220	20	50000	15000	35000		100101		
88	7	100	浣浣	1004		2000	220	20	50000	15000	35000		100101		
89	7	100	牛牛	1005		2000	220	20	50000	15000	35000		100101		
90	7	100	喵酱	1006		2000	220	20	50000	15000	35000		100101		
91	7	100	乐乐	1007		2000	220	20	50000	15000	35000		100101		
92	7	100	雪儿	1008		2000	220	20	50000	15000	35000		100101		
93	7	100	甄姬	2001		2000	220	20	50000	10000	35000	2001	100101		
94	7	100	黄盖	2002		2000	220	20	50000	10000	35000	2002	100101		
95	7	100	嫦娥	2003		2000	220	20	50000	10000	35000	2003	100101		
96	7	100	周瑜	2004		2000	220	20	50000	10000	35000	2004	100101		
97	7	100	武则天	2005		2000	220	20	50000	10000	35000	2005	100101		
98	7	100	槽里马	2006		2000	220	20	50000	10000	35000	2006	100101		
99	7	100	吕布	3001		2000	220	20	50000	10000	35000	3001	100101		
100	7	100	貂蝉	3002		2000	220	20	50000	10000	35000	3002	100101		
101	7	100	孙悟空	3003		2000	220	20	50000	10000	35000	3003	100101		
102	7	100	紫霞	3004		2000	220	20	50000	10000	35000	3004	100101		
103	7	100	冷风	3005		2000	220	20	50000	10000	35000	3005	100101		
104	7	100	敖饼	3006		2000	220	20	50000	10000	35000	3006	100101		
105	8	100	酷酷	1001		2250	220	20	50000	15000	35000		100101		
106	8	100	妮妮	1002		2250	220	20	50000	15000	35000		100101		
107	8	100	小狸	1003		2250	220	20	50000	15000	35000		100101		
108	8	100	浣浣	1004		2250	220	20	50000	15000	35000		100101		
109	8	100	牛牛	1005		2250	220	20	50000	15000	35000		100101		
110	8	100	喵酱	1006		2250	220	20	50000	15000	35000		100101		
111	8	100	乐乐	1007		2250	220	20	50000	15000	35000		100101		
112	8	100	雪儿	1008		2250	220	20	50000	15000	35000		100101		
113	8	100	甄姬	2001		2250	220	20	50000	10000	35000	2001	100101		
114	8	100	黄盖	2002		2250	220	20	50000	10000	35000	2002	100101		
115	8	100	嫦娥	2003		2250	220	20	50000	10000	35000	2003	100101		
116	8	100	周瑜	2004		2250	220	20	50000	10000	35000	2004	100101		
117	8	100	武则天	2005		2250	220	20	50000	10000	35000	2005	100101		
118	8	100	槽里马	2006		2250	220	20	50000	10000	35000	2006	100101		
119	8	100	吕布	3001		2250	220	20	50000	10000	35000	3001	100101		
120	8	100	貂蝉	3002		2250	220	20	50000	10000	35000	3002	100101		
121	8	100	孙悟空	3003		2250	220	20	50000	10000	35000	3003	100101		
122	8	100	紫霞	3004		2250	220	20	50000	10000	35000	3004	100101		
123	8	100	冷风	3005		2250	220	20	50000	10000	35000	3005	100101		
124	8	100	敖饼	3006		2250	220	20	50000	10000	35000	3006	100101		
125	9	100	酷酷	1001		2500	230	20	50000	15000	35000		100101		
126	9	100	妮妮	1002		2500	230	20	50000	15000	35000		100101		
127	9	100	小狸	1003		2500	230	20	50000	15000	35000		100101		
128	9	100	浣浣	1004		2500	230	20	50000	15000	35000		100101		
129	9	100	牛牛	1005		2500	230	20	50000	15000	35000		100101		
130	9	100	喵酱	1006		2500	230	20	50000	15000	35000		100101		
131	9	100	乐乐	1007		2500	230	20	50000	15000	35000		100101		
132	9	100	雪儿	1008		2500	230	20	50000	15000	35000		100101		
133	9	100	甄姬	2001		2500	230	20	50000	10000	35000	2001	100101		
134	9	100	黄盖	2002		2500	230	20	50000	10000	35000	2002	100101		
135	9	100	嫦娥	2003		2500	230	20	50000	10000	35000	2003	100101		
136	9	100	周瑜	2004		2500	230	20	50000	10000	35000	2004	100101		
137	9	100	武则天	2005		2500	230	20	50000	10000	35000	2005	100101		
138	9	100	槽里马	2006		2500	230	20	50000	10000	35000	2006	100101		
139	9	100	吕布	3001		2500	230	20	50000	10000	35000	3001	100101		
140	9	100	貂蝉	3002		2500	230	20	50000	10000	35000	3002	100101		
141	9	100	孙悟空	3003		2500	230	20	50000	10000	35000	3003	100101		
142	9	100	紫霞	3004		2500	230	20	50000	10000	35000	3004	100101		
143	9	100	冷风	3005		2500	230	20	50000	10000	35000	3005	100101		
144	9	100	敖饼	3006		2500	230	20	50000	10000	35000	3006	100101		
145	10	100	酷酷	1001		2750	240	20	50000	15000	35000		100101		
146	10	100	妮妮	1002		2750	240	20	50000	15000	35000		100101		
147	10	100	小狸	1003		2750	240	20	50000	15000	35000		100101		
148	10	100	浣浣	1004		2750	240	20	50000	15000	35000		100101		
149	10	100	牛牛	1005		2750	240	20	50000	15000	35000		100101		
150	10	100	喵酱	1006		2750	240	20	50000	15000	35000		100101		
151	10	100	乐乐	1007		2750	240	20	50000	15000	35000		100101		
152	10	100	雪儿	1008		2750	240	20	50000	15000	35000		100101		
153	10	100	甄姬	2001		2750	240	20	50000	10000	35000	2001	100101		
154	10	100	黄盖	2002		2750	240	20	50000	10000	35000	2002	100101		
155	10	100	嫦娥	2003		2750	240	20	50000	10000	35000	2003	100101		
156	10	100	周瑜	2004		2750	240	20	50000	10000	35000	2004	100101		
157	10	100	武则天	2005		2750	240	20	50000	10000	35000	2005	100101		
158	10	100	槽里马	2006		2750	240	20	50000	10000	35000	2006	100101		
159	10	100	吕布	3001		2750	240	20	50000	10000	35000	3001	100101		
160	10	100	貂蝉	3002		2750	240	20	50000	10000	35000	3002	100101		
161	10	100	孙悟空	3003		2750	240	20	50000	10000	35000	3003	100101		
162	10	100	紫霞	3004		2750	240	20	50000	10000	35000	3004	100101		
163	10	100	冷风	3005		2750	240	20	50000	10000	35000	3005	100101		
164	10	100	敖饼	3006		2750	240	20	50000	10000	35000	3006	100101		
165	11	100	酷酷	1001		3000	240	20	50000	15000	35000		100101		
166	11	100	妮妮	1002		3000	240	20	50000	15000	35000		100101		
167	11	100	小狸	1003		3000	240	20	50000	15000	35000		100101		
168	11	100	浣浣	1004		3000	240	20	50000	15000	35000		100101		
169	11	100	牛牛	1005		3000	240	20	50000	15000	35000		100101		
170	11	100	喵酱	1006		3000	240	20	50000	15000	35000		100101		
171	11	100	乐乐	1007		3000	240	20	50000	15000	35000		100101		
172	11	100	雪儿	1008		3000	240	20	50000	15000	35000		100101		
173	11	100	甄姬	2001		3000	240	20	50000	10000	35000	2001	100101		
174	11	100	黄盖	2002		3000	240	20	50000	10000	35000	2002	100101		
175	11	100	嫦娥	2003		3000	240	20	50000	10000	35000	2003	100101		
176	11	100	周瑜	2004		3000	240	20	50000	10000	35000	2004	100101		
177	11	100	武则天	2005		3000	240	20	50000	10000	35000	2005	100101		
178	11	100	槽里马	2006		3000	240	20	50000	10000	35000	2006	100101		
179	11	100	吕布	3001		3000	240	20	50000	10000	35000	3001	100101		
180	11	100	貂蝉	3002		3000	240	20	50000	10000	35000	3002	100101		
181	11	100	孙悟空	3003		3000	240	20	50000	10000	35000	3003	100101		
182	11	100	紫霞	3004		3000	240	20	50000	10000	35000	3004	100101		
183	11	100	冷风	3005		3000	240	20	50000	10000	35000	3005	100101		
184	11	100	敖饼	3006		3000	240	20	50000	10000	35000	3006	100101		
185	12	100	酷酷	1001		3000	250	20	50000	10000	35000		100101		
186	12	100	妮妮	1002		3000	250	20	50000	10000	35000		100101		
187	12	100	小狸	1003		3000	250	20	50000	10000	35000		100101		
188	12	100	浣浣	1004		3000	250	20	50000	10000	35000		100101		
189	12	100	牛牛	1005		3000	250	20	50000	10000	35000		100101		
190	12	100	喵酱	1006		3000	250	20	50000	10000	35000		100101		
191	12	100	乐乐	1007		3000	250	20	50000	10000	35000		100101		
192	12	100	雪儿	1008		3000	250	20	50000	10000	35000		100101		
193	12	100	甄姬	2001		3000	250	20	50000	10000	35000	2001	100101		
194	12	100	黄盖	2002		3000	250	20	50000	10000	35000	2002	100101		
195	12	100	嫦娥	2003		3000	250	20	50000	10000	35000	2003	100101		
196	12	100	周瑜	2004		3000	250	20	50000	10000	35000	2004	100101		
197	12	100	武则天	2005		3000	250	20	50000	10000	35000	2005	100101		
198	12	100	槽里马	2006		3000	250	20	50000	10000	35000	2006	100101		
199	12	100	吕布	3001		3000	250	20	50000	10000	35000	3001	100101		
200	12	100	貂蝉	3002		3000	250	20	50000	10000	35000	3002	100101		
201	12	100	孙悟空	3003		3000	250	20	50000	10000	35000	3003	100101		
202	12	100	紫霞	3004		3000	250	20	50000	10000	35000	3004	100101		
203	12	100	冷风	3005		3000	250	20	50000	10000	35000	3005	100101		
204	12	100	敖饼	3006		3000	250	20	50000	10000	35000	3006	100101		
205	13	100	酷酷	1001		3000	260	22	50000	10000	35000		100101		
206	13	100	妮妮	1002		3000	260	22	50000	10000	35000		100101		
207	13	100	小狸	1003		3000	260	22	50000	10000	35000		100101		
208	13	100	浣浣	1004		3000	260	22	50000	10000	35000		100101		
209	13	100	牛牛	1005		3000	260	22	50000	10000	35000		100101		
210	13	100	喵酱	1006		3000	260	22	50000	10000	35000		100101		
211	13	100	乐乐	1007		3000	260	22	50000	10000	35000		100101		
212	13	100	雪儿	1008		3000	260	22	50000	10000	35000		100101		
213	13	100	甄姬	2001		3000	260	22	50000	10000	35000	2001	100101		
214	13	100	黄盖	2002		3000	260	22	50000	10000	35000	2002	100101		
215	13	100	嫦娥	2003		3000	260	22	50000	10000	35000	2003	100101		
216	13	100	周瑜	2004		3000	260	22	50000	10000	35000	2004	100101		
217	13	100	武则天	2005		3000	260	22	50000	10000	35000	2005	100101		
218	13	100	槽里马	2006		3000	260	22	50000	10000	35000	2006	100101		
219	13	100	吕布	3001		3000	260	22	50000	10000	35000	3001	100101		
220	13	100	貂蝉	3002		3000	260	22	50000	10000	35000	3002	100101		
221	13	100	孙悟空	3003		3000	260	22	50000	10000	35000	3003	100101		
222	13	100	紫霞	3004		3000	260	22	50000	10000	35000	3004	100101		
223	13	100	冷风	3005		3000	260	22	50000	10000	35000	3005	100101		
224	13	100	敖饼	3006		3000	260	22	50000	10000	35000	3006	100101		
225	14	100	酷酷	1001		3000	270	24	50000	10000	35000		100101		
226	14	100	妮妮	1002		3000	270	24	50000	10000	35000		100101		
227	14	100	小狸	1003		3000	270	24	50000	10000	35000		100101		
228	14	100	浣浣	1004		3000	270	24	50000	10000	35000		100101		
229	14	100	牛牛	1005		3000	270	24	50000	10000	35000		100101		
230	14	100	喵酱	1006		3000	270	24	50000	10000	35000		100101		
231	14	100	乐乐	1007		3000	270	24	50000	10000	35000		100101		
232	14	100	雪儿	1008		3000	270	24	50000	10000	35000		100101		
233	14	100	甄姬	2001		3000	270	24	50000	10000	35000	2001	100101		
234	14	100	黄盖	2002		3000	270	24	50000	10000	35000	2002	100101		
235	14	100	嫦娥	2003		3000	270	24	50000	10000	35000	2003	100101		
236	14	100	周瑜	2004		3000	270	24	50000	10000	35000	2004	100101		
237	14	100	武则天	2005		3000	270	24	50000	10000	35000	2005	100101		
238	14	100	槽里马	2006		3000	270	24	50000	10000	35000	2006	100101		
239	14	100	吕布	3001		3000	270	24	50000	10000	35000	3001	100101		
240	14	100	貂蝉	3002		3000	270	24	50000	10000	35000	3002	100101		
241	14	100	孙悟空	3003		3000	270	24	50000	10000	35000	3003	100101		
242	14	100	紫霞	3004		3000	270	24	50000	10000	35000	3004	100101		
243	14	100	冷风	3005		3000	270	24	50000	10000	35000	3005	100101		
244	14	100	敖饼	3006		3000	270	24	50000	10000	35000	3006	100101		
245	15	100	甄姬	2001		3000	280	26	50000	10000	35000	2001	100101		
246	15	100	黄盖	2002		3000	280	26	50000	10000	35000	2002	100101		
247	15	100	嫦娥	2003		3000	280	26	50000	10000	35000	2003	100101		
248	15	100	周瑜	2004		3000	280	26	50000	10000	35000	2004	100101		
249	15	100	武则天	2005		3000	280	26	50000	10000	35000	2005	100101		
250	15	100	槽里马	2006		3000	280	26	50000	10000	35000	2006	100101		
251	15	100	吕布	3001		3000	280	26	50000	10000	35000	3001	100101		
252	15	100	貂蝉	3002		3000	280	26	50000	10000	35000	3002	100101		
253	15	100	孙悟空	3003		3000	280	26	50000	10000	35000	3003	100101		
254	15	100	紫霞	3004		3000	280	26	50000	10000	35000	3004	100101		
255	15	100	冷风	3005		3000	280	26	50000	10000	35000	3005	100101		
256	15	100	敖饼	3006		3000	280	26	50000	10000	35000	3006	100101		
257	16	100	甄姬	2001		3000	290	28	50000	10000	35000	2001	100101		
258	16	100	黄盖	2002		3000	290	28	50000	10000	35000	2002	100101		
259	16	100	嫦娥	2003		3000	290	28	50000	10000	35000	2003	100101		
260	16	100	周瑜	2004		3000	290	28	50000	10000	35000	2004	100101		
261	16	100	武则天	2005		3000	290	28	50000	10000	35000	2005	100101		
262	16	100	槽里马	2006		3000	290	28	50000	10000	35000	2006	100101		
263	16	100	吕布	3001		3000	290	28	50000	10000	35000	3001	100101		
264	16	100	貂蝉	3002		3000	290	28	50000	10000	35000	3002	100101		
265	16	100	孙悟空	3003		3000	290	28	50000	10000	35000	3003	100101		
266	16	100	紫霞	3004		3000	290	28	50000	10000	35000	3004	100101		
267	16	100	冷风	3005		3000	290	28	50000	10000	35000	3005	100101		
268	16	100	敖饼	3006		3000	290	28	50000	10000	35000	3006	100101		
269	17	100	甄姬	2001		3000	300	30	50000	10000	35000	2001	100101		
270	17	100	黄盖	2002		3000	300	30	50000	10000	35000	2002	100101		
271	17	100	嫦娥	2003		3000	300	30	50000	10000	35000	2003	100101		
272	17	100	周瑜	2004		3000	300	30	50000	10000	35000	2004	100101		
273	17	100	武则天	2005		3000	300	30	50000	10000	35000	2005	100101		
274	17	100	槽里马	2006		3000	300	30	50000	10000	35000	2006	100101		
275	17	100	吕布	3001		3000	300	30	50000	10000	35000	3001	100101		
276	17	100	貂蝉	3002		3000	300	30	50000	10000	35000	3002	100101		
277	17	100	孙悟空	3003		3000	300	30	50000	10000	35000	3003	100101		
278	17	100	紫霞	3004		3000	300	30	50000	10000	35000	3004	100101		
279	17	100	冷风	3005		3000	300	30	50000	10000	35000	3005	100101		
280	17	100	敖饼	3006		3000	300	30	50000	10000	35000	3006	100101		
