INT	STRING	STRING	INT	INT	INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT
20010008	陨石	t_item_name_20010008	1	2001	0	[c2e5ed]当脚下出现光圈的时候你可得小心，没人被陨石击中后还能生还####[5bd300]技能效果：在地面标记陨石落点，一段延迟后，巨大的陨石从天而降，命中的敌人立即殒命[-]####[e4ac01]在战场中拾取，能量越高，技能威力越大	t_item_desc_20010008	sfic_ysq1	100	1	100	200901	3		
20010009	烈性炸药	t_item_name_20010009	1	2001	0	[c2e5ed]快跑！离那颗炸弹远点，这可不是开玩笑####[5bd300]技能效果：投掷一个定时炸弹，炸弹将在落地数秒后产生爆炸[-]####[e4ac01]在战场中拾取，能量越高，技能威力越大	t_item_desc_20010009	sfic_dszd1	100	1	100	201001	3		
20010010	隐身斗篷	t_item_name_20010010	1	2001	0	[c2e5ed]如果你有一件隐身斗篷，你想用它来做什么呢，嘿嘿嘿####[5bd300]技能效果：使用斗篷后，进入隐身状态，持续若干秒，主动攻击或使用技能会现身[-]####[e4ac01]在战场中拾取，能量越高，技能威力越大	t_item_desc_20010010	sfic_ysdp1	100	1	100	201101	3		
30010001	随机契约礼包	t_item_name_30010001	1	3001	0	[c2e5ed]使用后可随机获得以下契约道具之一：[3defff]冰棍[-]，[3defff]雷电球[-]，[3defff]滚雪球[-]，[3defff]墨水球[-]，[3defff]恶魔球[-]，[3defff]暴风雪[-]，[3defff]龙卷风[-]，[3defff]陨石[-]，[3defff]烈性炸药[-]，[3defff]隐身斗篷[-]	t_item_desc_30010001	djlb	100	1	20	2005			
30010002	契约大礼包	t_item_name_30010002	1	3001	0	[c2e5ed]使用后可获得以下物品：[3defff]冰棍[-][e4ac01] x 1[-]，[3defff]雷电球[-][e4ac01] x 1[-]，[3defff]滚雪球[-][e4ac01] x 1[-]，[3defff]墨水球[-][e4ac01] x 1[-]，[3defff]恶魔球[-][e4ac01] x 1[-]，[3defff]暴风雪[-][e4ac01] x 1[-]，[3defff]龙卷风[-][e4ac01] x 1[-]，[3defff]陨石[-][e4ac01] x 1[-]	t_item_desc_30010002	djlb	800	1	160	2001			
30010003	普通角色礼包	t_item_name_30010003	1	3001	0	[c2e5ed]使用后可获得5个[3defff]普通[-][c2e5ed]角色碎片	t_item_desc_30010003	lbx	25	1	5	2002			
30010004	稀有角色礼包	t_item_name_30010004	2	3001	0	[c2e5ed]使用后可获得5个[ff41da]稀有[-][c2e5ed]角色碎片	t_item_desc_30010004	zbx	50	1	10	2003			
30010005	史诗角色礼包	t_item_name_30010005	3	3001	0	[c2e5ed]使用后可获得5个[ffcd00]史诗[-][c2e5ed]角色碎片	t_item_desc_30010005	jbx	100	1	20	2004			
30010006	稀有皮肤礼包	t_item_name_30010006	2	3001	0	[c2e5ed]使用后可随机获得一款[ff41da]稀有[-][c2e5ed]皮肤	t_item_desc_30010006	djlb	300	4	60	2006			
50010001	大喇叭	t_item_name_50010001	2	5001	0	[c2e5ed]全服喊话道具，使用后可以在大厅界面上方显示你说的话	t_item_desc_50010001	lt_dalaba4	50	2	10				
50010002	改名卡	t_item_name_50010002	2	5001	0	[c2e5ed]用来更改账号昵称的物品	t_item_desc_50010002	gmk	300	2	60				
