INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
23	3	100	ÀÖÀÖ	1007		1000	200	14	40000	15000	35000		100101		
24	3	100	Ñ©¶ù	1008		1000	200	14	40000	15000	35000		100101		
25	3	50	Õç¼§	2001		1000	200	14	50000	15000	35000	2001	100101		
26	3	50	»Æ¸Ç	2002		1000	200	14	50000	15000	35000	2002	100101		
27	3	50	æÏ¶ð	2003		1000	200	14	50000	15000	35000	2003	100101		
28	3	50	ÖÜè¤	2004		1000	200	14	50000	15000	35000	2004	100101		
29	3	50	ÎäÔòÌì	2005		1000	200	14	50000	15000	35000	2005	100101		
30	3	50	²ÛÀïÂí	2006		1000	200	14	50000	15000	35000	2006	100101		
31	4	100	¿á¿á	1001		1250	220	16	50000	15000	35000		100101		
32	4	100	ÄÝÄÝ	1002		1250	220	16	50000	15000	35000		100101		
33	4	100	Ð¡Àê	1003		1250	220	16	50000	15000	35000		100101		
34	4	100	ä½ä½	1004		1250	220	16	50000	15000	35000		100101		
35	4	100	Å£Å£	1005		1250	220	16	50000	15000	35000		100101		
36	4	100	ß÷½´	1006		1250	220	16	50000	15000	35000		100101		
37	4	100	ÀÖÀÖ	1007		1250	220	16	50000	15000	35000		100101		
38	4	100	Ñ©¶ù	1008		1250	220	16	50000	15000	35000		100101		
39	4	50	Õç¼§	2001		1250	220	16	50000	15000	35000	2001	100101		
40	4	50	»Æ¸Ç	2002		1250	220	16	50000	15000	35000	2002	100101		
41	4	50	æÏ¶ð	2003		1250	220	16	50000	15000	35000	2003	100101		
42	4	50	ÖÜè¤	2004		1250	220	16	50000	15000	35000	2004	100101		
43	4	50	ÎäÔòÌì	2005		1250	220	16	50000	15000	35000	2005	100101		
44	4	50	²ÛÀïÂí	2006		1250	220	16	50000	15000	35000	2006	100101		
45	5	100	¿á¿á	1001		1500	220	18	50000	15000	35000		100101		
46	5	100	ÄÝÄÝ	1002		1500	220	18	50000	15000	35000		100101		
47	5	100	Ð¡Àê	1003		1500	220	18	50000	15000	35000		100101		
48	5	100	ä½ä½	1004		1500	220	18	50000	15000	35000		100101		
49	5	100	Å£Å£	1005		1500	220	18	50000	15000	35000		100101		
50	5	100	ß÷½´	1006		1500	220	18	50000	15000	35000		100101		
51	5	100	ÀÖÀÖ	1007		1500	220	18	50000	15000	35000		100101		
52	5	100	Ñ©¶ù	1008		1500	220	18	50000	15000	35000		100101		
53	5	100	Õç¼§	2001		1500	220	18	50000	15000	35000	2001	100101		
54	5	100	»Æ¸Ç	2002		1500	220	18	50000	15000	35000	2002	100101		
55	5	100	æÏ¶ð	2003		1500	220	18	50000	15000	35000	2003	100101		
56	5	100	ÖÜè¤	2004		1500	220	18	50000	15000	35000	2004	100101		
57	5	100	ÎäÔòÌì	2005		1500	220	18	50000	15000	35000	2005	100101		
58	5	100	²ÛÀïÂí	2006		1500	220	18	50000	15000	35000	2006	100101		
59	5	50	ÂÀ²¼	3001		1500	220	18	50000	15000	35000	3001	100101		
60	5	50	õõ²õ	3002		1500	220	18	50000	15000	35000	3002	100101		
61	5	50	ËïÎò¿Õ	3003		1500	220	18	50000	15000	35000	3003	100101		
62	5	50	×ÏÏ¼	3004		1500	220	18	50000	15000	35000	3004	100101		
63	5	50	Àä·ç	3005		1500	220	18	50000	15000	35000	3005	100101		
64	5	50	°½±ý	3006		1500	220	18	50000	15000	35000	3006	100101		
65	6	100	¿á¿á	1001		1750	220	20	50000	15000	35000		100101		
66	6	100	ÄÝÄÝ	1002		1750	220	20	50000	15000	35000		100101		
67	6	100	Ð¡Àê	1003		1750	220	20	50000	15000	35000		100101		
68	6	100	ä½ä½	1004		1750	220	20	50000	15000	35000		100101		
69	6	100	Å£Å£	1005		1750	220	20	50000	15000	35000		100101		
70	6	100	ß÷½´	1006		1750	220	20	50000	15000	35000		100101		
71	6	100	ÀÖÀÖ	1007		1750	220	20	50000	15000	35000		100101		
72	6	100	Ñ©¶ù	1008		1750	220	20	50000	15000	35000		100101		
73	6	100	Õç¼§	2001		1750	220	20	50000	15000	35000	2001	100101		
74	6	100	»Æ¸Ç	2002		1750	220	20	50000	15000	35000	2002	100101		
75	6	100	æÏ¶ð	2003		1750	220	20	50000	15000	35000	2003	100101		
76	6	100	ÖÜè¤	2004		1750	220	20	50000	15000	35000	2004	100101		
77	6	100	ÎäÔòÌì	2005		1750	220	20	50000	15000	35000	2005	100101		
78	6	100	²ÛÀïÂí	2006		1750	220	20	50000	15000	35000	2006	100101		
79	6	100	ÂÀ²¼	3001		1750	220	20	50000	15000	35000	3001	100101		
80	6	50	õõ²õ	3002		1750	220	20	50000	15000	35000	3002	100101		
81	6	50	ËïÎò¿Õ	3003		1750	220	20	50000	15000	35000	3003	100101		
82	6	50	×ÏÏ¼	3004		1750	220	20	50000	15000	35000	3004	100101		
83	6	50	Àä·ç	3005		1750	220	20	50000	15000	35000	3005	100101		
84	6	50	°½±ý	3006		1750	220	20	50000	15000	35000	3006	100101		
85	7	100	¿á¿á	1001		2000	220	20	50000	15000	35000		100101		
86	7	100	ÄÝÄÝ	1002		2000	220	20	50000	15000	35000		100101		
87	7	100	Ð¡Àê	1003		2000	220	20	50000	15000	35000		100101		
88	7	100	ä½ä½	1004		2000	220	20	50000	15000	35000		100101		
89	7	100	Å£Å£	1005		2000	220	20	50000	15000	35000		100101		
90	7	100	ß÷½´	1006		2000	220	20	50000	15000	35000		100101		
91	7	100	ÀÖÀÖ	1007		2000	220	20	50000	15000	35000		100101		
92	7	100	Ñ©¶ù	1008		2000	220	20	50000	15000	35000		100101		
93	7	100	Õç¼§	2001		2000	220	20	50000	10000	35000	2001	100101		
94	7	100	»Æ¸Ç	2002		2000	220	20	50000	10000	35000	2002	100101		
95	7	100	æÏ¶ð	2003		2000	220	20	50000	10000	35000	2003	100101		
96	7	100	ÖÜè¤	2004		2000	220	20	50000	10000	35000	2004	100101		
97	7	100	ÎäÔòÌì	2005		2000	220	20	50000	10000	35000	2005	100101		
98	7	100	²ÛÀïÂí	2006		2000	220	20	50000	10000	35000	2006	100101		
99	7	100	ÂÀ²¼	3001		2000	220	20	50000	10000	35000	3001	100101		
100	7	100	õõ²õ	3002		2000	220	20	50000	10000	35000	3002	100101		
101	7	100	ËïÎò¿Õ	3003		2000	220	20	50000	10000	35000	3003	100101		
102	7	100	×ÏÏ¼	3004		2000	220	20	50000	10000	35000	3004	100101		
103	7	100	Àä·ç	3005		2000	220	20	50000	10000	35000	3005	100101		
104	7	100	°½±ý	3006		2000	220	20	50000	10000	35000	3006	100101		
105	8	100	¿á¿á	1001		2250	220	20	50000	15000	35000		100101		
106	8	100	ÄÝÄÝ	1002		2250	220	20	50000	15000	35000		100101		
107	8	100	Ð¡Àê	1003		2250	220	20	50000	15000	35000		100101		
108	8	100	ä½ä½	1004		2250	220	20	50000	15000	35000		100101		
109	8	100	Å£Å£	1005		2250	220	20	50000	15000	35000		100101		
110	8	100	ß÷½´	1006		2250	220	20	50000	15000	35000		100101		
111	8	100	ÀÖÀÖ	1007		2250	220	20	50000	15000	35000		100101		
112	8	100	Ñ©¶ù	1008		2250	220	20	50000	15000	35000		100101		
113	8	100	Õç¼§	2001		2250	220	20	50000	10000	35000	2001	100101		
114	8	100	»Æ¸Ç	2002		2250	220	20	50000	10000	35000	2002	100101		
115	8	100	æÏ¶ð	2003		2250	220	20	50000	10000	35000	2003	100101		
116	8	100	ÖÜè¤	2004		2250	220	20	50000	10000	35000	2004	100101		
117	8	100	ÎäÔòÌì	2005		2250	220	20	50000	10000	35000	2005	100101		
118	8	100	²ÛÀïÂí	2006		2250	220	20	50000	10000	35000	2006	100101		
119	8	100	ÂÀ²¼	3001		2250	220	20	50000	10000	35000	3001	100101		
120	8	100	õõ²õ	3002		2250	220	20	50000	10000	35000	3002	100101		
121	8	100	ËïÎò¿Õ	3003		2250	220	20	50000	10000	35000	3003	100101		
122	8	100	×ÏÏ¼	3004		2250	220	20	50000	10000	35000	3004	100101		
123	8	100	Àä·ç	3005		2250	220	20	50000	10000	35000	3005	100101		
124	8	100	°½±ý	3006		2250	220	20	50000	10000	35000	3006	100101		
125	9	100	¿á¿á	1001		2500	230	20	50000	15000	35000		100101		
126	9	100	ÄÝÄÝ	1002		2500	230	20	50000	15000	35000		100101		
127	9	100	Ð¡Àê	1003		2500	230	20	50000	15000	35000		100101		
128	9	100	ä½ä½	1004		2500	230	20	50000	15000	35000		100101		
129	9	100	Å£Å£	1005		2500	230	20	50000	15000	35000		100101		
130	9	100	ß÷½´	1006		2500	230	20	50000	15000	35000		100101		
131	9	100	ÀÖÀÖ	1007		2500	230	20	50000	15000	35000		100101		
132	9	100	Ñ©¶ù	1008		2500	230	20	50000	15000	35000		100101		
133	9	100	Õç¼§	2001		2500	230	20	50000	10000	35000	2001	100101		
134	9	100	»Æ¸Ç	2002		2500	230	20	50000	10000	35000	2002	100101		
135	9	100	æÏ¶ð	2003		2500	230	20	50000	10000	35000	2003	100101		
136	9	100	ÖÜè¤	2004		2500	230	20	50000	10000	35000	2004	100101		
137	9	100	ÎäÔòÌì	2005		2500	230	20	50000	10000	35000	2005	100101		
138	9	100	²ÛÀïÂí	2006		2500	230	20	50000	10000	35000	2006	100101		
139	9	100	ÂÀ²¼	3001		2500	230	20	50000	10000	35000	3001	100101		
140	9	100	õõ²õ	3002		2500	230	20	50000	10000	35000	3002	100101		
141	9	100	ËïÎò¿Õ	3003		2500	230	20	50000	10000	35000	3003	100101		
142	9	100	×ÏÏ¼	3004		2500	230	20	50000	10000	35000	3004	100101		
143	9	100	Àä·ç	3005		2500	230	20	50000	10000	35000	3005	100101		
144	9	100	°½±ý	3006		2500	230	20	50000	10000	35000	3006	100101		
145	10	100	¿á¿á	1001		2750	240	20	50000	15000	35000		100101		
146	10	100	ÄÝÄÝ	1002		2750	240	20	50000	15000	35000		100101		
147	10	100	Ð¡Àê	1003		2750	240	20	50000	15000	35000		100101		
148	10	100	ä½ä½	1004		2750	240	20	50000	15000	35000		100101		
149	10	100	Å£Å£	1005		2750	240	20	50000	15000	35000		100101		
150	10	100	ß÷½´	1006		2750	240	20	50000	15000	35000		100101		
151	10	100	ÀÖÀÖ	1007		2750	240	20	50000	15000	35000		100101		
152	10	100	Ñ©¶ù	1008		2750	240	20	50000	15000	35000		100101		
153	10	100	Õç¼§	2001		2750	240	20	50000	10000	35000	2001	100101		
154	10	100	»Æ¸Ç	2002		2750	240	20	50000	10000	35000	2002	100101		
155	10	100	æÏ¶ð	2003		2750	240	20	50000	10000	35000	2003	100101		
156	10	100	ÖÜè¤	2004		2750	240	20	50000	10000	35000	2004	100101		
157	10	100	ÎäÔòÌì	2005		2750	240	20	50000	10000	35000	2005	100101		
158	10	100	²ÛÀïÂí	2006		2750	240	20	50000	10000	35000	2006	100101		
159	10	100	ÂÀ²¼	3001		2750	240	20	50000	10000	35000	3001	100101		
160	10	100	õõ²õ	3002		2750	240	20	50000	10000	35000	3002	100101		
161	10	100	ËïÎò¿Õ	3003		2750	240	20	50000	10000	35000	3003	100101		
162	10	100	×ÏÏ¼	3004		2750	240	20	50000	10000	35000	3004	100101		
163	10	100	Àä·ç	3005		2750	240	20	50000	10000	35000	3005	100101		
164	10	100	°½±ý	3006		2750	240	20	50000	10000	35000	3006	100101		
165	11	100	¿á¿á	1001		3000	240	20	50000	15000	35000		100101		
166	11	100	ÄÝÄÝ	1002		3000	240	20	50000	15000	35000		100101		
167	11	100	Ð¡Àê	1003		3000	240	20	50000	15000	35000		100101		
168	11	100	ä½ä½	1004		3000	240	20	50000	15000	35000		100101		
169	11	100	Å£Å£	1005		3000	240	20	50000	15000	35000		100101		
170	11	100	ß÷½´	1006		3000	240	20	50000	15000	35000		100101		
171	11	100	ÀÖÀÖ	1007		3000	240	20	50000	15000	35000		100101		
172	11	100	Ñ©¶ù	1008		3000	240	20	50000	15000	35000		100101		
173	11	100	Õç¼§	2001		3000	240	20	50000	10000	35000	2001	100101		
174	11	100	»Æ¸Ç	2002		3000	240	20	50000	10000	35000	2002	100101		
175	11	100	æÏ¶ð	2003		3000	240	20	50000	10000	35000	2003	100101		
176	11	100	ÖÜè¤	2004		3000	240	20	50000	10000	35000	2004	100101		
177	11	100	ÎäÔòÌì	2005		3000	240	20	50000	10000	35000	2005	100101		
178	11	100	²ÛÀïÂí	2006		3000	240	20	50000	10000	35000	2006	100101		
179	11	100	ÂÀ²¼	3001		3000	240	20	50000	10000	35000	3001	100101		
180	11	100	õõ²õ	3002		3000	240	20	50000	10000	35000	3002	100101		
181	11	100	ËïÎò¿Õ	3003		3000	240	20	50000	10000	35000	3003	100101		
182	11	100	×ÏÏ¼	3004		3000	240	20	50000	10000	35000	3004	100101		
183	11	100	Àä·ç	3005		3000	240	20	50000	10000	35000	3005	100101		
184	11	100	°½±ý	3006		3000	240	20	50000	10000	35000	3006	100101		
185	12	100	¿á¿á	1001		3000	250	20	50000	10000	35000		100101		
186	12	100	ÄÝÄÝ	1002		3000	250	20	50000	10000	35000		100101		
187	12	100	Ð¡Àê	1003		3000	250	20	50000	10000	35000		100101		
188	12	100	ä½ä½	1004		3000	250	20	50000	10000	35000		100101		
189	12	100	Å£Å£	1005		3000	250	20	50000	10000	35000		100101		
190	12	100	ß÷½´	1006		3000	250	20	50000	10000	35000		100101		
191	12	100	ÀÖÀÖ	1007		3000	250	20	50000	10000	35000		100101		
192	12	100	Ñ©¶ù	1008		3000	250	20	50000	10000	35000		100101		
193	12	100	Õç¼§	2001		3000	250	20	50000	10000	35000	2001	100101		
194	12	100	»Æ¸Ç	2002		3000	250	20	50000	10000	35000	2002	100101		
195	12	100	æÏ¶ð	2003		3000	250	20	50000	10000	35000	2003	100101		
196	12	100	ÖÜè¤	2004		3000	250	20	50000	10000	35000	2004	100101		
197	12	100	ÎäÔòÌì	2005		3000	250	20	50000	10000	35000	2005	100101		
198	12	100	²ÛÀïÂí	2006		3000	250	20	50000	10000	35000	2006	100101		
199	12	100	ÂÀ²¼	3001		3000	250	20	50000	10000	35000	3001	100101		
200	12	100	õõ²õ	3002		3000	250	20	50000	10000	35000	3002	100101		
201	12	100	ËïÎò¿Õ	3003		3000	250	20	50000	10000	35000	3003	100101		
202	12	100	×ÏÏ¼	3004		3000	250	20	50000	10000	35000	3004	100101		
203	12	100	Àä·ç	3005		3000	250	20	50000	10000	35000	3005	100101		
204	12	100	°½±ý	3006		3000	250	20	50000	10000	35000	3006	100101		
205	13	100	¿á¿á	1001		3000	260	22	50000	10000	35000		100101		
206	13	100	ÄÝÄÝ	1002		3000	260	22	50000	10000	35000		100101		
207	13	100	Ð¡Àê	1003		3000	260	22	50000	10000	35000		100101		
208	13	100	ä½ä½	1004		3000	260	22	50000	10000	35000		100101		
209	13	100	Å£Å£	1005		3000	260	22	50000	10000	35000		100101		
210	13	100	ß÷½´	1006		3000	260	22	50000	10000	35000		100101		
211	13	100	ÀÖÀÖ	1007		3000	260	22	50000	10000	35000		100101		
212	13	100	Ñ©¶ù	1008		3000	260	22	50000	10000	35000		100101		
213	13	100	Õç¼§	2001		3000	260	22	50000	10000	35000	2001	100101		
214	13	100	»Æ¸Ç	2002		3000	260	22	50000	10000	35000	2002	100101		
215	13	100	æÏ¶ð	2003		3000	260	22	50000	10000	35000	2003	100101		
216	13	100	ÖÜè¤	2004		3000	260	22	50000	10000	35000	2004	100101		
217	13	100	ÎäÔòÌì	2005		3000	260	22	50000	10000	35000	2005	100101		
218	13	100	²ÛÀïÂí	2006		3000	260	22	50000	10000	35000	2006	100101		
219	13	100	ÂÀ²¼	3001		3000	260	22	50000	10000	35000	3001	100101		
220	13	100	õõ²õ	3002		3000	260	22	50000	10000	35000	3002	100101		
221	13	100	ËïÎò¿Õ	3003		3000	260	22	50000	10000	35000	3003	100101		
222	13	100	×ÏÏ¼	3004		3000	260	22	50000	10000	35000	3004	100101		
223	13	100	Àä·ç	3005		3000	260	22	50000	10000	35000	3005	100101		
224	13	100	°½±ý	3006		3000	260	22	50000	10000	35000	3006	100101		
225	14	100	¿á¿á	1001		3000	270	24	50000	10000	35000		100101		
226	14	100	ÄÝÄÝ	1002		3000	270	24	50000	10000	35000		100101		
227	14	100	Ð¡Àê	1003		3000	270	24	50000	10000	35000		100101		
228	14	100	ä½ä½	1004		3000	270	24	50000	10000	35000		100101		
229	14	100	Å£Å£	1005		3000	270	24	50000	10000	35000		100101		
230	14	100	ß÷½´	1006		3000	270	24	50000	10000	35000		100101		
231	14	100	ÀÖÀÖ	1007		3000	270	24	50000	10000	35000		100101		
232	14	100	Ñ©¶ù	1008		3000	270	24	50000	10000	35000		100101		
233	14	100	Õç¼§	2001		3000	270	24	50000	10000	35000	2001	100101		
234	14	100	»Æ¸Ç	2002		3000	270	24	50000	10000	35000	2002	100101		
235	14	100	æÏ¶ð	2003		3000	270	24	50000	10000	35000	2003	100101		
236	14	100	ÖÜè¤	2004		3000	270	24	50000	10000	35000	2004	100101		
237	14	100	ÎäÔòÌì	2005		3000	270	24	50000	10000	35000	2005	100101		
238	14	100	²ÛÀïÂí	2006		3000	270	24	50000	10000	35000	2006	100101		
239	14	100	ÂÀ²¼	3001		3000	270	24	50000	10000	35000	3001	100101		
240	14	100	õõ²õ	3002		3000	270	24	50000	10000	35000	3002	100101		
241	14	100	ËïÎò¿Õ	3003		3000	270	24	50000	10000	35000	3003	100101		
242	14	100	×ÏÏ¼	3004		3000	270	24	50000	10000	35000	3004	100101		
243	14	100	Àä·ç	3005		3000	270	24	50000	10000	35000	3005	100101		
244	14	100	°½±ý	3006		3000	270	24	50000	10000	35000	3006	100101		
245	15	100	Õç¼§	2001		3000	280	26	50000	10000	35000	2001	100101		
246	15	100	»Æ¸Ç	2002		3000	280	26	50000	10000	35000	2002	100101		
247	15	100	æÏ¶ð	2003		3000	280	26	50000	10000	35000	2003	100101		
248	15	100	ÖÜè¤	2004		3000	280	26	50000	10000	35000	2004	100101		
249	15	100	ÎäÔòÌì	2005		3000	280	26	50000	10000	35000	2005	100101		
250	15	100	²ÛÀïÂí	2006		3000	280	26	50000	10000	35000	2006	100101		
251	15	100	ÂÀ²¼	3001		3000	280	26	50000	10000	35000	3001	100101		
252	15	100	õõ²õ	3002		3000	280	26	50000	10000	35000	3002	100101		
253	15	100	ËïÎò¿Õ	3003		3000	280	26	50000	10000	35000	3003	100101		
254	15	100	×ÏÏ¼	3004		3000	280	26	50000	10000	35000	3004	100101		
255	15	100	Àä·ç	3005		3000	280	26	50000	10000	35000	3005	100101		
256	15	100	°½±ý	3006		3000	280	26	50000	10000	35000	3006	100101		
257	16	100	Õç¼§	2001		3000	290	28	50000	10000	35000	2001	100101		
258	16	100	»Æ¸Ç	2002		3000	290	28	50000	10000	35000	2002	100101		
259	16	100	æÏ¶ð	2003		3000	290	28	50000	10000	35000	2003	100101		
260	16	100	ÖÜè¤	2004		3000	290	28	50000	10000	35000	2004	100101		
261	16	100	ÎäÔòÌì	2005		3000	290	28	50000	10000	35000	2005	100101		
262	16	100	²ÛÀïÂí	2006		3000	290	28	50000	10000	35000	2006	100101		
263	16	100	ÂÀ²¼	3001		3000	290	28	50000	10000	35000	3001	100101		
264	16	100	õõ²õ	3002		3000	290	28	50000	10000	35000	3002	100101		
265	16	100	ËïÎò¿Õ	3003		3000	290	28	50000	10000	35000	3003	100101		
266	16	100	×ÏÏ¼	3004		3000	290	28	50000	10000	35000	3004	100101		
267	16	100	Àä·ç	3005		3000	290	28	50000	10000	35000	3005	100101		
268	16	100	°½±ý	3006		3000	290	28	50000	10000	35000	3006	100101		
269	17	100	Õç¼§	2001		3000	300	30	50000	10000	35000	2001	100101		
270	17	100	»Æ¸Ç	2002		3000	300	30	50000	10000	35000	2002	100101		
271	17	100	æÏ¶ð	2003		3000	300	30	50000	10000	35000	2003	100101		
272	17	100	ÖÜè¤	2004		3000	300	30	50000	10000	35000	2004	100101		
273	17	100	ÎäÔòÌì	2005		3000	300	30	50000	10000	35000	2005	100101		
274	17	100	²ÛÀïÂí	2006		3000	300	30	50000	10000	35000	2006	100101		
275	17	100	ÂÀ²¼	3001		3000	300	30	50000	10000	35000	3001	100101		
276	17	100	õõ²õ	3002		3000	300	30	50000	10000	35000	3002	100101		
277	17	100	ËïÎò¿Õ	3003		3000	300	30	50000	10000	35000	3003	100101		
278	17	100	×ÏÏ¼	3004		3000	300	30	50000	10000	35000	3004	100101		
279	17	100	Àä·ç	3005		3000	300	30	50000	10000	35000	3005	100101		
280	17	100	°½±ý	3006		3000	300	30	50000	10000	35000	3006	100101		
